DISP, '2013-08-01-00:00:00' 
735462.583333,25.614799
735462.625000,25.604129
735462.666667,25.639271
735462.708333,25.670276
735462.750000,25.658376
735462.791667,25.672724
735462.833333,25.691056
735462.875000,25.690481
735462.916667,25.657825
735462.958333,25.665819
735463.000000,25.667999
735463.041667,25.686979
735463.083333,25.696103
735463.125000,25.680788
735463.166667,25.658519
735463.208333,25.677166
735463.250000,25.678145
735463.291667,25.630877
735463.333333,25.603442
735463.375000,25.582565
735463.416667,25.566538
735463.458333,25.539859
735463.500000,25.536464
735463.541667,25.527351
735463.583333,25.510986
735463.625000,25.493305
735463.666667,25.487938
735463.708333,25.521966
735463.750000,25.547903
735463.791667,25.571060
735463.833333,25.591744
735463.875000,25.619312
735463.916667,25.632623
735463.958333,25.630230
735464.000000,25.637483
735464.041667,25.657026
735464.083345,25.634124
735464.125000,25.650361
735464.166667,25.621912
735464.208333,25.586336
735464.250000,25.558948
735464.291667,25.554140
735464.333333,25.537744
735464.375000,25.529334
735464.416667,25.537334
735464.458333,25.522362
735464.500000,25.549928
735464.541667,25.553151
735464.583333,25.554914
735464.625000,25.523720
735464.666667,25.522918
735464.708333,25.564049
735464.750000,25.582568
735464.791667,25.624618
735464.833333,25.650094
735464.875000,25.660902
735464.916667,25.667686
735464.958333,25.673182
735465.000000,25.685681
735465.041667,25.696660
735465.083333,25.687060
735465.125000,25.691812
735465.166667,25.684315
735465.208333,25.682049
735465.250000,25.682473
735465.291667,25.666941
735465.333333,25.657672
735465.375000,25.618785
735465.416667,25.614215
735465.458333,25.596166
735465.500000,25.605435
735465.541667,25.610784
735465.583333,25.600271
735465.625000,25.605608
735465.666667,25.606968
735465.708333,25.609578
735465.750000,25.643184
735465.791667,25.667709
735465.833333,25.674923
735465.875000,25.686615
735465.916667,25.708048
735465.958333,25.715945
735466.000000,25.733490
735466.041667,25.718613
735466.083333,25.710277
735466.125000,25.714579
735466.166667,25.701090
735466.208333,25.715828
735466.250000,25.686451
735466.291667,25.668978
735466.333333,25.648558
735466.375000,25.629471
735466.416667,25.608407
735466.458333,25.623720
735466.500000,25.598156
735466.541667,25.618192
735466.583333,25.628866
735466.625000,25.638076
735466.666667,25.637004
735466.708333,25.663511
735466.750000,25.660437
735466.791667,25.657270
735466.833333,25.668315
735466.875000,25.702006
735466.916667,25.700196
735466.958333,25.736809
735467.000000,25.746077
735467.041667,25.758577
735467.083333,25.739075
735467.125000,25.718859
735467.166667,25.700233
735467.208333,25.726786
735467.250000,25.690921
735467.291667,25.664526
735467.333333,25.639309
735467.375000,25.642187
735467.416667,25.651163
735467.458333,25.669278
735467.500000,25.681281
735467.541667,25.697870
735467.583333,25.667832
735467.625000,25.702367
735467.666667,25.710347
735467.708333,25.688183
735467.750000,25.733322
735467.791667,25.786263
735467.833333,25.819231
735467.875000,25.839195
735467.916667,25.860513
735467.958333,25.874640
735468.000000,25.876617
735468.041667,25.867875
735468.083333,25.864419
735468.125000,25.898707
735468.166667,25.897252
735468.208333,25.865648
735468.250000,25.859816
735468.291667,25.823955
735468.333333,25.823359
735468.375000,25.812896
735468.416667,25.785918
735468.458333,25.784331
735468.500000,25.776935
735468.541667,25.793271
735468.583333,25.796864
735468.625000,25.811407
735468.666667,25.790411
735468.708333,25.796581
735468.750000,25.786919
735468.791667,25.812120
735468.833333,25.795212
735468.875000,25.797625
735468.916667,25.820904
735468.958333,25.817374
735469.000000,25.808576
735469.041667,25.815588
735469.083333,25.815550
735469.125000,25.822170
735469.166667,25.799112
735469.208333,25.779723
735469.250000,25.776404
735469.291667,25.773043
735469.333333,25.761926
735469.375000,25.744068
735469.416667,25.713580
735469.458333,25.717917
735469.500000,25.707074
735469.541667,25.707879
735469.583333,25.742709
735469.625000,25.772126
735469.666667,25.794921
735469.708333,25.834051
735469.750000,25.821314
735469.791667,25.837795
735469.833333,25.861834
735469.875000,25.874458
735469.916667,25.882038
735469.958333,25.897916
735470.000000,25.858411
735470.041667,25.831746
735470.083333,25.828118
735470.125000,25.785529
735470.166667,25.792063
735470.208333,25.782310
735470.250000,25.785417
735470.291667,25.780030
735470.333333,25.740012
735470.375000,25.747529
735470.416667,25.733644
735470.458333,25.734165
735470.500000,25.721876
735470.541667,25.734229
735470.583333,25.662896
735470.625000,25.652962
735470.666667,25.668499
735470.708333,25.672387
735470.750000,25.682007
735470.791667,25.745200
735470.833333,25.747636
735470.875000,25.738096
735470.916667,25.733613
735470.958333,25.762576
