DISP, '2013-08-01-00:00:00' 
735451.333333,25.770688
735451.375000,25.728302
735451.416667,25.727219
735451.458333,25.713809
735451.500000,25.707776
735451.541667,25.655924
735451.583333,25.626756
735451.625000,25.625097
735451.666667,25.650110
735451.708333,25.629685
735451.750000,25.654830
735451.791667,25.658793
735451.833333,25.675789
735451.875000,25.676840
735451.916667,25.681510
735451.958333,25.698942
735452.000000,25.709369
735452.041667,25.734207
735452.083333,25.719390
735452.125000,25.692952
735452.166667,25.689436
735452.208333,25.678162
735452.250000,25.688959
735452.291667,25.670411
735452.333333,25.692336
735452.375000,25.659449
735452.416667,25.638053
735452.458333,25.606584
735452.500000,25.607062
735452.541667,25.603931
735452.583333,25.579524
735452.625000,25.601191
735452.666667,25.613976
735452.708333,25.608700
735452.750000,25.635715
735452.791667,25.643417
735452.833333,25.655633
735452.875000,25.684070
735452.916667,25.706249
735452.958333,25.731038
735453.000000,25.754590
735453.041667,25.735440
735453.083333,25.734715
735453.125000,25.715989
735453.166667,25.742992
735453.208333,25.727872
735453.250000,25.678568
735453.291667,25.665301
735453.333333,25.655966
735453.375000,25.628491
735453.416667,25.617671
735453.458333,25.592786
735453.500000,25.587732
735453.541667,25.595277
735453.583333,25.598762
735453.625000,25.585561
735453.666667,25.583609
735453.708333,25.611927
735453.750000,25.618502
735453.791667,25.620701
735453.833333,25.638756
735453.875000,25.641593
735453.916667,25.675475
735453.958333,25.694429
735454.000000,25.715885
735454.041667,25.703036
735454.083333,25.688261
735454.125000,25.686700
735454.166667,25.699684
735454.208333,25.669044
735454.250000,25.624763
735454.291667,25.656779
735454.333333,25.647399
735454.375000,25.620740
735454.416667,25.580415
735454.458333,25.559830
735454.500000,25.543992
735454.541667,25.556691
735454.583333,25.536436
735454.625000,25.528930
735454.666667,25.528541
735454.708333,25.556722
735454.750000,25.587930
735454.791667,25.641378
735454.833333,25.669669
735454.875000,25.713332
735454.916667,25.756928
735454.958333,25.773441
735455.000000,25.778084
735455.041667,25.794201
735455.083333,25.766791
735455.125000,25.777609
735455.166667,25.773753
735455.208333,25.782747
735455.250000,25.788217
735455.291667,25.786611
735455.333333,25.796875
735455.375000,25.811232
735455.416667,25.810038
735455.458333,25.812051
735455.500000,25.806935
735455.541667,25.809495
735455.583333,25.839302
735455.625000,25.845473
735455.666667,25.835268
735455.708333,25.848689
735455.750000,25.865854
735455.791667,25.870614
735455.833333,25.844422
735455.875000,25.837523
735455.916667,25.855579
735455.958333,25.881917
735456.000000,25.883186
735456.041667,25.907374
735456.083333,25.877505
735456.125000,25.871338
735456.166667,25.820027
735456.208333,25.798997
735456.250000,25.773341
735456.291667,25.771415
735456.333333,25.767575
735456.375000,25.772164
735456.416667,25.746985
735456.458333,25.741229
735456.500000,25.718981
735456.541667,25.689680
735456.583333,25.708543
735456.625000,25.682852
735456.666667,25.679763
735456.708333,25.722433
735456.750000,25.726669
735456.791667,25.748967
735456.833333,25.741035
735456.875000,25.747792
735456.916667,25.777470
735456.958333,25.810180
735457.000000,25.827180
735457.041667,25.840467
735457.083333,25.820365
735457.125000,25.816582
735457.166667,25.749708
735457.208333,25.723058
735457.250000,25.750401
735457.291667,25.706269
735457.333333,25.691778
735457.375000,25.662339
735457.416667,25.686518
735457.458333,25.694588
735457.500000,25.698449
735457.541667,25.696081
735457.583333,25.698844
735457.625000,25.685041
735457.666667,25.676969
735457.708333,25.676129
735457.750000,25.655914
735457.791667,25.692289
735457.833333,25.692491
735457.875000,25.717918
735457.916667,25.718416
735457.958333,25.705358
735458.000000,25.724202
735458.041667,25.751585
735458.083333,25.798070
735458.125000,25.794233
735458.166667,25.798184
735458.208333,25.778427
735458.250000,25.731274
735458.291667,25.705294
735458.333333,25.672189
735459.375000,25.630743
735459.416667,25.580544
735459.458333,25.550485
735459.500000,25.551119
735459.541667,25.549551
735459.583333,25.556663
735459.625000,25.538145
735459.666667,25.542151
735459.708333,25.531653
735459.750000,25.539294
735459.791667,25.527983
735459.833333,25.558082
735459.875000,25.566088
735459.916667,25.586935
735459.958333,25.581916
735460.000000,25.573922
735460.041667,25.581439
735460.083333,25.581020
735460.125000,25.587455
735460.166667,25.550468
735460.208333,25.553147
735460.250000,25.557616
735460.291667,25.539663
735460.333333,25.544789
735460.375000,25.524886
735460.416667,25.500734
735460.458333,25.515288
735460.500000,25.496647
735460.541667,25.493377
735460.583333,25.488119
735460.625000,25.493769
735460.666667,25.496071
735460.708333,25.479490
735460.750000,25.523282
735460.791667,25.533552
735460.833333,25.566750
735460.875000,25.596016
735460.916667,25.600958
735460.958333,25.594357
735461.000000,25.610337
735461.041667,25.654802
735461.083333,25.644034
735461.125000,25.625562
735461.166667,25.627704
735461.208333,25.603680
735461.250000,25.630089
735461.291667,25.648618
735461.333333,25.621529
735461.375000,25.598408
735461.416667,25.601912
735461.458333,25.579065
735461.500000,25.591520
735461.541667,25.583750
735461.583333,25.577568
735461.625000,25.589456
735461.666667,25.604148
735461.708333,25.591362
735461.750000,25.582832
735461.791667,25.632000
735461.833333,25.642678
735461.875000,25.672749
735461.916667,25.676327
735461.958333,25.671310
735462.000000,25.691923
735462.041667,25.652772
735462.083333,25.680503
735462.125000,25.686962
735462.166667,25.669568
735462.208333,25.655228
735462.250000,25.621319
735462.291667,25.635694
735462.333333,25.659856
735462.375000,25.665970
735462.416667,25.703723
735462.458333,25.681330
735462.500000,25.646761
735462.541667,25.623880
735462.583333,25.642283
735462.625000,25.657675
735462.666667,25.654338
735462.708333,25.662255
735462.750000,25.691437
735462.791667,25.709353
735462.833333,25.738831
735462.875000,25.790846
735462.916667,25.787300
735462.958333,25.807013
735463.000000,25.833958
735463.041667,25.837632
735463.083333,25.815786
735463.125000,25.813351
735463.166667,25.777478
735463.208333,25.801372
735463.250000,25.761049
735463.291667,25.772378
735463.333333,25.759810
735463.375000,25.717963
735463.416667,25.701685
735463.458333,25.649628
735463.500000,25.672557
735463.541667,25.688095
735463.583333,25.708822
735463.625000,25.715325
735463.666667,25.700452
735463.708333,25.727957
735463.750000,25.751861
735463.791667,25.793772
735463.833333,25.814916
735463.875000,25.825400
735463.916667,25.864652
735463.958333,25.836670
735464.000000,25.830354
735464.041667,25.849248
735464.083345,25.835518
735464.125000,25.821609
735464.166667,25.807838
735464.208333,25.825355
735464.250000,25.801013
735464.291667,25.785249
735464.333333,25.767560
735464.375000,25.760616
735464.416667,25.749392
735464.458333,25.737768
735464.500000,25.692132
735464.541667,25.676258
735464.583333,25.662247
735464.625000,25.652251
735464.666667,25.635819
735464.708333,25.614904
735464.750000,25.646583
735464.791667,25.672418
735464.833333,25.652359
735464.875000,25.683163
735464.916667,25.657949
735464.958333,25.662755
735465.000000,25.684118
735465.041667,25.693920
735465.083333,25.728097
735465.125000,25.713547
735465.166667,25.706736
735465.208333,25.711297
735465.250000,25.705480
735465.291667,25.718737
735465.333333,25.730492
735465.375000,25.734336
735465.416667,25.721190
735465.458333,25.706245
735465.500000,25.697231
735465.541667,25.697871
735465.583333,25.697099
