Depl-Y1, '1993-08-16-12:00:00' 
730556.520833,26.583377
730563.531250,26.813290
730570.541667,26.261623
730577.552083,25.640726
730584.562500,25.981189
730591.572917,25.499714
730598.583333,25.589880
730605.593750,25.653131
730612.604167,24.961861
730619.614583,25.927983
730626.625000,25.590959
730633.635417,24.929753
730640.645833,24.726758
730647.656250,24.256764
730654.666667,24.382643
730661.677083,24.850510
730668.687500,25.217193
730675.697917,25.379217
730682.708333,25.689162
730689.718750,25.468975
730696.729167,25.677719
730703.739583,25.474097
730710.750000,25.689114
730717.760417,25.881656
730724.770833,26.403774
730731.781250,25.442291
730738.791667,25.515221
730745.802083,25.872539
730752.812500,26.084480
730759.822917,25.801430
730766.833333,25.684738
730773.843750,25.354046
730780.854167,25.466269
730787.864583,25.363677
730794.875000,25.365271
730801.885417,25.679536
730808.895833,25.588505
730815.906250,26.015535
730822.916667,25.799096
730829.927083,26.315538
730836.937500,26.971256
730843.947917,27.248958
730850.958333,27.035917
730857.968750,26.821301
730864.979167,26.493162
730871.989583,26.257931
730879.000000,26.339724
730886.010417,26.591075
730893.020833,26.395257
730900.031250,26.128201
730907.041667,26.317066
730914.052083,26.243772
730921.062500,26.041180
730928.072917,26.649001
730935.083333,26.595892
730942.093750,26.542872
730949.104167,26.633940
730956.114583,26.666007
730963.125000,26.908913
730970.135417,26.500286
730977.145833,25.871887
730984.156250,25.753854
730991.166667,25.819492
730998.177083,26.307234
731005.187500,26.544635
731012.197917,26.172364
731019.208333,26.123716
731026.218750,25.603479
731033.229167,25.824832
731040.239583,26.610738
731047.250000,26.672062
731054.260417,26.249840
731061.270833,26.049263
731068.281250,26.143075
731075.291667,25.782162
731082.302083,25.938189
731089.312500,25.627085
731096.322917,26.010492
731103.333333,26.304004
731110.343750,26.778133
731117.354167,26.425211
731124.364583,26.336378
731131.375000,25.831856
731138.385417,25.260859
731145.395833,25.440679
731152.406250,25.611157
731159.416667,26.334767
731166.427083,26.328280
731173.437500,26.141766
731180.447917,25.898376
731187.458333,26.121069
731194.468750,25.847591
731201.479167,26.202455
731208.489583,26.642727
731215.500000,26.604939
731222.510417,26.742012
731229.520833,26.887736
731236.531250,26.897217
731243.541667,27.059257
731250.552083,26.273928
731257.562500,25.969729
731264.572917,26.031275
731271.583333,26.765247
731278.593750,26.822850
731285.604167,26.266804
731292.614583,26.080623
731299.625000,25.312543
731306.635417,25.216201
731313.645833,24.952445
731320.656250,25.092004
731327.666667,25.278455
731334.677083,25.209790
731341.687500,25.088615
731348.697917,25.941091
731355.708333,26.112421
731362.718750,26.615892
731369.729167,26.777105
731376.739583,26.819332
731383.750000,26.754214
731390.760417,26.873303
731397.770833,26.686242
731404.781250,26.402432
731411.791667,27.160877
731418.802083,26.868302
731425.812500,27.028873
731432.822917,26.451888
731439.833333,26.502807
731446.843750,26.514721
731453.854167,26.911143
731460.864583,26.814239
731467.875000,26.632545
731474.885417,27.402123
731481.895833,27.124193
731488.906250,26.645114
731495.916667,27.095872
731503.000000,26.746419
731510.010417,26.085989
731517.020833,25.508057
731524.031250,26.130116
731531.041667,26.055656
731538.052083,26.480234
731545.062500,26.122741
731552.072917,26.502918
731559.083333,26.859367
731566.093750,26.702833
731573.104167,26.681981
731580.114583,26.581773
731587.125000,27.048831
731594.135417,26.141540
731601.145833,26.212597
731608.156250,25.856667
731615.166667,25.965728
731622.177083,25.952045
731629.187500,25.649678
731636.197917,25.747398
731643.208333,26.175202
731650.218750,26.124943
731657.229167,26.400837
731664.239583,26.422998
