LTU014PIAEVA920', 
731954,-3.88
731955,-3.95
731956,-4
731957,-4.04
731958,-4.1
731959,-4.12
731960,-4.18
731961,-4.26
731962,-4.29
731963,-4.22
731964,-4.18
731965,-4.19
731966,-4.17
731967,-4.17
731968,-4.18
731969,-4.18
731970,-4.23
731971,-4.3
731972,-4.34
731973,-4.39
731974,-4.39
731975,-4.39
731976,-4.36
731977,-4.36
731978,-4.33
731979,-4.23
731980,-4.21
731981,-4.13
731982,-4.13
731983,-4.13
731984,-4.17
731985,-4.17
731986,-4.16
731987,-4.1
731988,-4.05
731989,-4.09
731990,-4.09
731991,-4.05
731992,-4.1
731993,-4.15
731994,-4.18
731995,-4.16
731996,-4.07
731997,-4.04
731998,-4.03
731999,-4.01
732000,-4
732001,-4
732002,-4.01
732003,-4
732004,-4.03
732005,-4.04
732006,-4.03
732007,-4.03
732008,-4
732009,-3.98
732010,-4.01
732011,-4.04
732012,-4.05
732013,-4.06
732014,-4.05
732015,-4.06
732016,-4.07
732017,-4.07
732018,-4.06
732019,-4.06
732020,-4.11
732021,-4.12
732022,-4.12
732023,-4.15
732024,-4.17
732025,-4.18
732026,-4.18
732027,-4.19
732028,-4.21
732029,-4.24
732030,-4.25
732031,-4.21
732032,-4.19
732033,-4.19
732034,-4.24
732035,-4.24
732036,-4.25
732037,-4.29
732038,-4.29
732039,-4.3
732040,-4.33
732041,-4.35
732042,-4.37
732043,-4.36
732044,-4.35
732045,-4.39
732046,-4.4
732047,-4.41
732048,-4.41
732049,-4.43
732050,-4.43
732051,-4.44
732052,-4.44
732053,-4.46
732054,-4.49
732055,-4.52
732056,-4.53
732057,-4.56
732058,-4.61
732059,-4.59
732060,-4.64
732061,-4.64
732062,-4.68
732063,-4.67
732064,-4.64
732065,-4.62
732066,-4.66
732067,-4.67
732068,-4.71
732069,-4.75
732070,-4.76
732071,-4.74
732072,-4.77
732073,-4.74
732074,-4.71
732075,-4.74
732076,-4.78
732077,-4.88
732078,-4.87
732079,-4.99
732080,-4.98
732081,-4.96
732082,-4.98
732083,-5.1
732084,-5.18
732085,-5.23
732086,-5.25
732087,-5.3
732088,-5.32
732089,-5.39
732090,-5.42
732091,-5.5
732092,-5.5
732093,-5.45
732094,-5.42
732095,-5.45
732096,-5.46
732097,-5.47
732098,-5.5
732099,-5.55
732100,-5.57
732101,-5.57
732102,-5.55
732103,-5.58
732104,-5.64
732105,-5.7
732106,-5.78
732107,-5.8
732108,-5.96
732109,-6
732110,-6.03
732111,-6.06
732112,-6.07
732113,-6.07
732114,-6.15
732115,-6.19
732116,-6.24
732117,-6.24
732118,-6.27
732119,-6.26
732120,-6.25
732121,-6.25
732122,-6.26
732123,-6.29
732124,-6.31
732125,-6.32
732126,-6.36
732127,-6.33
732128,-6.35
732129,-6.35
732130,-6.36
732131,-6.37
732132,-6.41
732133,-6.48
732134,-6.52
732135,-6.54
732136,-6.57
732137,-6.58
732138,-6.59
732139,-6.6
732140,-6.61
732141,-6.68
732142,-6.71
732143,-6.74
732144,-6.74
732145,-6.72
732146,-6.75
732147,-6.81
732148,-6.83
732149,-6.88
732150,-6.94
732151,-6.97
732152,-7
732153,-7
732154,-6.99
732155,-7
732156,-7.02
732157,-7.07
732158,-7.08
732159,-7.1
732160,-7.11
732161,-7.12
732162,-7.13
732163,-7.21
732164,-7.22
732165,-7.24
732166,-7.22
732167,-7.21
732168,-7.21
732169,-7.2
732170,-7.22
732171,-7.21
732172,-7.2
732173,-7.2
732174,-7.2
732175,-7.2
732176,-7.2
732177,-7.2
732178,-7.2
732179,-7.22
732180,-7.22
732181,-7.22
732182,-7.23
732183,-7.23
732184,-7.23
732185,-7.2
732186,-7.18
732187,-7.19
732188,-7.21
732189,-7.23
732190,-7.22
732191,-7.2
732192,-7.25
732193,-7.23
732194,-7.21
732195,-7.2
732197,-7.17
732198,-7.17
732199,-7.16
732200,-7.12
732201,-7.11
732202,-7.09
732203,-7.11
732204,-7.12
732205,-7.11
732206,-7.1
732207,-7.1
732208,-7.14
732209,-7.1
732210,-7.11
732211,-7.06
732212,-7.02
732213,-6.98
732214,-6.99
732215,-6.98
732216,-7.01
732217,-7.01
732218,-7
732219,-7.04
732220,-7
732221,-7.01
732222,-7
732223,-7
732224,-6.96
732225,-6.96
732226,-6.94
732227,-6.85
732228,-6.76
732229,-6.74
732230,-6.77
732231,-6.78
732232,-6.77
732233,-6.73
732234,-6.7
732235,-6.7
732236,-6.68
732237,-6.67
732238,-6.66
732239,-6.63
732240,-6.6
732241,-6.55
732242,-6.51
732243,-6.46
732244,-6.42
732245,-6.43
732246,-6.38
732247,-6.34
732248,-6.33
732249,-6.28
732250,-6.28
732251,-6.19
732252,-6.2
732253,-6.2
732254,-6.16
732255,-6.12
732256,-6.06
732257,-6.04
732258,-5.98
732259,-5.95
732260,-5.91
732261,-5.88
732262,-5.83
732263,-5.76
732264,-5.69
732265,-5.67
732266,-5.59
732267,-5.54
732268,-5.49
732269,-5.47
732270,-5.43
732271,-5.41
732272,-5.41
732273,-5.4
732274,-5.39
732275,-5.35
732276,-5.36
732277,-5.36
732278,-5.34
732279,-5.26
732280,-5.24
732281,-5.22
732282,-5.2
732283,-5.2
732284,-5.21
732285,-5.21
732286,-5.18
732287,-5.15
732288,-5.18
732289,-5.2
732290,-5.14
732291,-5.1
732292,-5.1
732293,-5.08
732294,-5.08
732295,-5.07
732296,-5.09
732297,-5.17
732298,-5.11
732299,-5.15
732300,-5.14
732301,-5.15
732302,-5.26
732303,-5.36
732304,-5.29
732305,-5.17
732306,-5.23
732307,-5.29
732308,-5.31
732309,-5.3
732310,-5.25
732311,-5.24
732312,-5.21
732313,-5.15
732314,-5.18
732315,-5.23
732316,-5.2
732317,-5.21
732318,-5.24
732319,-5.26
732320,-5.2
732321,-5.2
732322,-5.21
732323,-5.2
732324,-5.21
732325,-5.24
732326,-5.13
732327,-5.17
732328,-5.16
732329,-5.19
732330,-5.22
732331,-5.27
732332,-5.28
732333,-5.31
732334,-5.37
732335,-5.43
732336,-5.45
732337,-5.46
732338,-5.45
732339,-5.49
732340,-5.52
732341,-5.47
732342,-5.4
732343,-5.37
732344,-5.35
732345,-5.34
732346,-5.31
732347,-5.26
732348,-5.22
732349,-5.2
732350,-5.16
732351,-5.16
732352,-5.15
732353,-5.15
732354,-5.16
732355,-5.15
732356,-5.18
732357,-5.21
732358,-5.19
732359,-5.18
732360,-5.2
732361,-5.21
732362,-5.22
732363,-5.25
732364,-5.28
732365,-5.28
732366,-5.32
732367,-5.33
732368,-5.36
732369,-5.36
732370,-5.33
732371,-5.33
732372,-5.32
732373,-5.32
732374,-5.31
732375,-5.32
732376,-5.32
732377,-5.31
732378,-5.32
732379,-5.36
732380,-5.33
732381,-5.39
732382,-5.41
732383,-5.37
732384,-5.32
732385,-5.32
732386,-5.31
732387,-5.31
732388,-5.31
732389,-5.3
732390,-5.3
732391,-5.29
732392,-5.3
732393,-5.31
732394,-5.31
732395,-5.32
732396,-5.31
732397,-5.36
732398,-5.36
732399,-5.37
732400,-5.39
732401,-5.4
732402,-5.42
732403,-5.45
732404,-5.45
732405,-5.47
732406,-5.48
732407,-5.48
732408,-5.52
732409,-5.55
732410,-5.55
732411,-5.55
732412,-5.56
732413,-5.61
732414,-5.63
732415,-5.63
732416,-5.64
732417,-5.67
732418,-5.68
732419,-5.7
732420,-5.74
732421,-5.79
732422,-5.78
732423,-5.83
732424,-5.89
732425,-5.89
732426,-5.86
732427,-5.84
732428,-5.85
732429,-5.85
732430,-5.86
732431,-5.86
732432,-5.84
732433,-5.85
732434,-5.85
732435,-5.86
732436,-5.86
732437,-5.88
732438,-5.88
732439,-5.96
732440,-6.03
732441,-6.12
732442,-6.18
732443,-6.29
732444,-6.33
732445,-6.31
732446,-6.33
732447,-6.33
732448,-6.3
732449,-6.29
732450,-6.3
732451,-6.32
732452,-6.35
732453,-6.36
732454,-6.39
732455,-6.35
732456,-6.37
732457,-6.42
732458,-6.54
732459,-6.57
732460,-6.58
732461,-6.58
732462,-6.58
732463,-6.64
732464,-6.73
732465,-6.84
732466,-6.95
732467,-7.02
732468,-7.08
732469,-7.13
732470,-7.12
732471,-7.1
732472,-7.15
732473,-7.15
732474,-7.19
732475,-7.28
732476,-7.36
732477,-7.52
732478,-7.53
732479,-7.52
732480,-7.48
732481,-7.46
732482,-7.43
732483,-7.42
732484,-7.45
732485,-7.52
732486,-7.57
732487,-7.55
732488,-7.54
732489,-7.58
732490,-7.67
732491,-7.74
732492,-7.83
732493,-7.89
732494,-7.94
732495,-7.98
732496,-7.99
732497,-7.99
732498,-8
732505.0417,-8.25
732506,-8.18
732507,-8.37
732508,-8.56
732509,-8.44
732510,-8.49
732512,-8.52
732513,-8.57
732514,-8.63
732515,-8.64
732516,-8.65
732517,-8.68
732518,-8.67
732519,-8.71
732520,-8.69
732521,-8.7
732522,-8.7
732523,-8.71
732524,-8.71
732525,-8.67
732526,-8.67
732527,-8.66
732528,-8.69
732529,-8.67
732530,-8.71
732531,-8.74
732532,-8.74
732533,-8.77
732534,-8.77
732535,-8.77
732536,-8.8
732537,-8.79
732538,-8.81
732539,-8.82
732546.5,-8.79
732547,-8.81
732548,-8.79
732549,-8.78
732550,-8.79
732551,-8.81
732552,-8.81
732553,-8.8
732554,-8.78
732555,-8.75
732556,-8.38
732557,-8.35
732558,-8.37
732559,-8.34
732560,-8.35
732561,-8.33
732562,-8.32
732563,-8.29
732564,-8.32
732565,-8.33
732566,-8.3
732567,-8.28
732568,-8.23
732569,-8.23
732577,-8.21
732578,-8.19
732579,-8.18
732580,-8.16
732581,-8.1
732582,-8.09
732583,-8.03
732584,-7.99
732585,-8.02
732586,-7.97
732587,-7.89
732588,-7.86
732589,-7.88
732590,-7.9
732591,-7.9
732592,-7.9
732593,-7.91
732594,-7.89
732595,-7.81
732596,-7.79
732597,-7.77
732598,-7.76
732599,-7.76
732600,-7.72
732601,-7.71
732602,-7.67
732603,-7.66
732604,-7.62
732605,-7.6
732606,-7.56
732607,-7.51
732608,-7.46
