LTU017PIAPRG300',2009-12-07-16:00:00'
734119.833333333 , -18.12
734119.875 , -18.12
734119.916666667 , -18.12
734119.958333333 , -18.1
734120 , -18.1
734120.041666667 , -18.1
734120.083333333 , -18.1
734120.125 , -18.09
734120.166666667 , -18.1
734120.208333333 , -18.09
734120.25 , -18.09
734120.291666667 , -18.08
734120.333333333 , -18.08
734120.375 , -18.07
734120.416666667 , -18.07
734120.458333333 , -18.07
734120.5 , -18.07
734120.541666667 , -18.08
734120.583333333 , -18.09
734120.625 , -18.1
734120.666666667 , -18.1
734120.708333333 , -18.13
734120.75 , -18.13
734120.791666667 , -18.12
734120.833333333 , -18.12
734120.875 , -18.12
734120.916666667 , -18.12
734120.958333333 , -18.12
734121 , -18.12
734121.041666667 , -18.1
734121.083333333 , -18.1
734121.125 , -18.1
734121.166666667 , -18.1
734121.208333333 , -18.1
734121.25 , -18.1
734121.291666667 , -18.1
734121.333333333 , -18.1
734121.375 , -18.1
734121.416666667 , -18.1
734121.458333333 , -18.1
734121.5 , -18.1
734121.541666667 , -18.05
734121.583333333 , -18.07
734121.625 , -18.08
734121.666666667 , -18.08
734121.708333333 , -18.09
734121.75 , -18.09
734121.791666667 , -18.08
734121.833333333 , -18.07
734121.875 , -18.07
734121.916666667 , -18.05
734121.958333333 , -18.04
734122 , -18.04
734122.041666667 , -18.03
734122.083333333 , -18.03
734122.125 , -18.02
734122.166666667 , -18
734122.208333333 , -18
734122.25 , -18
734122.291666667 , -17.99
734122.333333333 , -17.98
734122.375 , -17.98
734122.416666667 , -17.97
734122.458333333 , -17.95
734122.5 , -17.95
734141.083333333 , -17.38
734141.125 , -17.38
734141.166666667 , -17.38
734141.208333333 , -17.38
734141.25 , -17.38
734141.291666667 , -17.38
734141.333333333 , -17.38
734141.375 , -17.38
734141.416666667 , -17.38
734141.458333333 , -17.4
734141.5 , -17.4
734141.541666667 , -17.4
734141.583333333 , -17.41
734141.625 , -17.41
734141.666666667 , -17.41
734141.708333333 , -17.41
734141.75 , -17.41
734141.791666667 , -17.41
734141.833333333 , -17.41
734141.875 , -17.41
734141.916666667 , -17.41
734141.958333333 , -17.41
734142 , -17.41
734142.041666667 , -17.42
734142.083333333 , -17.41
734142.125 , -17.42
734142.166666667 , -17.41
734142.208333333 , -17.42
734142.25 , -17.41
734142.291666667 , -17.42
734142.333333333 , -17.42
734142.375 , -17.42
734142.416666667 , -17.42
734142.458333333 , -17.42
734142.5 , -17.42
734142.541666667 , -17.42
734142.583333333 , -17.42
734142.625 , -17.42
734142.666666667 , -17.42
734142.708333333 , -17.42
734142.75 , -17.42
734142.791666667 , -17.42
734142.833333333 , -17.42
734142.875 , -17.42
734142.916666667 , -17.42
734142.958333333 , -17.42
734143 , -17.42
734143.041666667 , -17.42
734143.083333333 , -17.42
734143.125 , -17.42
734143.166666667 , -17.42
734143.208333333 , -17.42
734143.25 , -17.42
734143.291666667 , -17.41
734143.333333333 , -17.41
734143.375 , -17.41
734143.416666667 , -17.41
734143.458333333 , -17.42
734143.5 , -17.42
734143.541666667 , -17.42
734143.583333333 , -17.42
734143.625 , -17.43
734143.666666667 , -17.43
734143.708333333 , -17.43
734143.75 , -17.42
734143.791666667 , -17.42
734143.833333333 , -17.42
734143.875 , -17.42
734143.916666667 , -17.42
734143.958333333 , -17.42
734144 , -17.42
734144.041666667 , -17.42
734144.083333333 , -17.42
734144.125 , -17.42
734144.166666667 , -17.41
734144.208333333 , -17.41
734144.25 , -17.41
734144.291666667 , -17.41
734144.333333333 , -17.41
734144.375 , -17.41
734144.416666667 , -17.41
734144.458333333 , -17.41
734144.5 , -17.42
734144.541666667 , -17.42
734144.583333333 , -17.42
734144.625 , -17.42
734144.666666667 , -17.42
734144.708333333 , -17.42
734144.75 , -17.42
734144.791666667 , -17.41
734144.833333333 , -17.41
734144.875 , -17.41
734144.916666667 , -17.41
734144.958333333 , -17.41
734145 , -17.4
734145.041666667 , -17.4
734145.083333333 , -17.4
734145.125 , -17.4
734145.166666667 , -17.4
734145.208333333 , -17.38
734145.25 , -17.38
734145.291666667 , -17.38
734145.333333333 , -17.37
734145.375 , -17.37
734145.416666667 , -17.37
734145.458333333 , -17.37
734145.5 , -17.37
734145.541666667 , -17.37
734145.583333333 , -17.37
734145.625 , -17.37
734145.666666667 , -17.38
734145.708333333 , -17.38
734145.75 , -17.37
734145.791666667 , -17.37
734145.833333333 , -17.36
734145.875 , -17.36
734145.916666667 , -17.36
734145.958333333 , -17.33
734146 , -17.33
734146.041666667 , -17.32
734146.083333333 , -17.32
734146.125 , -17.31
734146.166666667 , -17.31
734146.208333333 , -17.31
734146.25 , -17.3
734146.291666667 , -17.3
734146.333333333 , -17.28
734146.375 , -17.28
734146.416666667 , -17.27
734146.458333333 , -17.27
734146.5 , -17.28
734146.541666667 , -17.28
734146.583333333 , -17.28
734146.625 , -17.28
734146.666666667 , -17.28
734146.708333333 , -17.28
734146.75 , -17.28
734146.791666667 , -17.28
734146.833333333 , -17.27
734146.875 , -17.27
734146.916666667 , -17.26
734146.958333333 , -17.26
734147 , -17.26
734147.041666667 , -17.25
734147.083333333 , -17.25
734147.125 , -17.23
734147.166666667 , -17.23
734147.208333333 , -17.22
734147.25 , -17.22
734147.291666667 , -17.21
734147.333333333 , -17.22
734147.375 , -17.22
734147.416666667 , -17.21
734147.458333333 , -17.21
734147.5 , -17.21
734147.541666667 , -17.22
734147.583333333 , -17.22
734147.625 , -17.22
734147.666666667 , -17.21
734147.708333333 , -17.22
734147.75 , -17.22
734147.791666667 , -17.22
734147.833333333 , -17.22
734147.875 , -17.22
734147.916666667 , -17.21
734147.958333333 , -17.21
734148 , -17.21
734148.041666667 , -17.2
734148.083333333 , -17.18
734148.125 , -17.18
734148.166666667 , -17.18
734148.208333333 , -17.17
734148.25 , -17.17
734148.291666667 , -17.17
734148.333333333 , -17.18
734148.375 , -17.18
734148.416666667 , -17.18
734148.458333333 , -17.17
734148.5 , -17.18
734148.541666667 , -17.18
734148.583333333 , -17.18
734148.625 , -17.17
734148.666666667 , -17.17
