'LTU016PIAPE910',2003-01-08-00:00:00'
733403.0833,1.92
733403.125,1.92
733403.1667,1.92
733403.2083,1.93
733403.25,1.92
733403.2917,1.92
733403.3333,1.93
733403.375,1.92
733403.4167,1.93
733403.4583,1.93
733403.5,1.92
733403.5417,1.92
733403.5833,1.93
733403.625,1.93
733403.6667,1.93
733403.7083,1.93
733403.75,1.92
733403.7917,1.93
733403.8333,1.92
733403.875,1.93
733403.9167,1.92
733403.9583,1.92
733404,1.93
733404.0417,1.93
733404.0833,1.93
733404.125,1.93
733404.1667,1.93
733404.2083,1.93
733404.25,1.93
733404.2917,1.93
733404.3333,1.93
733404.375,1.93
733404.4167,1.93
733404.4583,1.93
733404.5,1.93
733404.5417,1.93
733404.5833,1.93
733404.625,1.92
733404.6667,1.93
733404.7083,1.93
733404.75,1.92
733404.7917,1.93
733404.8333,1.93
733404.875,1.93
733404.9167,1.93
733404.9583,1.95
733405,1.93
733405.0417,1.93
733405.0833,1.95
733405.125,1.95
733405.1667,1.95
733405.2083,1.95
733405.25,1.95
733405.2917,1.95
733405.3333,1.95
733405.375,1.95
733405.4167,1.93
733405.4583,1.93
733405.5,1.93
733405.5417,1.93
733405.5833,1.93
733405.625,1.93
733405.6667,1.93
733405.7083,1.93
733405.75,1.93
733405.7917,1.93
733405.8333,1.93
733405.875,1.95
733405.9167,1.93
733405.9583,1.95
733406,1.95
733406.0417,1.95
733406.0833,1.95
733406.125,1.95
733406.1667,1.96
733406.2083,1.96
733406.25,1.96
733406.2917,1.95
733406.3333,1.96
733406.375,1.96
733406.4167,1.96
733406.4583,1.96
733406.5,1.97
733406.5417,1.97
733406.5833,1.97
733406.625,1.97
733406.6667,1.97
733406.7083,1.97
733406.75,1.97
733406.7917,1.97
733406.8333,1.97
733406.875,1.97
733406.9167,1.97
733406.9583,1.97
733407,1.97
733407.0417,1.96
733407.0833,1.96
733407.125,1.96
733407.1667,1.96
733407.2083,1.97
733407.25,1.97
733407.2917,1.97
733407.3333,1.97
733407.375,1.97
733407.4167,1.97
733407.4583,1.98
733407.5,1.97
733407.5417,1.96
733407.5833,1.96
733407.625,1.96
733407.6667,1.96
733407.7083,1.96
733407.75,1.96
733407.7917,1.96
733407.8333,1.96
733407.875,1.96
733407.9167,1.96
733407.9583,1.96
733408,1.96
733408.0417,1.96
733408.0833,1.96
733408.125,1.96
733408.1667,1.96
733408.2083,1.96
733408.25,1.96
733408.2917,1.96
733408.3333,1.96
733408.375,1.96
733408.4167,1.96
733408.4583,1.97
733408.5,1.97
733408.5417,1.97
733408.5833,1.95
733408.625,1.95
733408.6667,1.95
733408.7083,1.95
733408.75,1.95
733408.7917,1.95
733408.8333,1.93
733408.875,1.93
733408.9167,1.93
733408.9583,1.92
733409,1.92
733409.0417,1.92
733409.0833,1.92
733409.125,1.92
733409.1667,1.92
733409.2083,1.92
733409.25,1.92
733409.2917,1.91
733409.3333,1.91
733409.375,1.91
733409.4167,1.91
733409.4583,1.91
733409.5,1.93
733409.5417,1.95
733409.5833,1.93
733409.625,1.92
733409.6667,1.93
733409.7083,1.93
733409.75,1.93
733409.7917,1.93
733409.8333,1.93
733409.875,1.93
733409.9167,1.95
733409.9583,1.95
733410,1.93
733410.0417,1.92
733410.0833,1.92
733410.125,1.92
733410.1667,1.92
733410.2083,1.92
733410.25,1.91
733410.2917,1.91
733410.3333,1.91
733410.375,1.89
733410.4167,1.91
733410.4583,1.91
733410.5,1.92
733410.5417,1.92
733410.5833,1.91
733410.625,1.91
733410.6667,1.91
733410.7083,1.91
733410.75,1.91
733410.7917,1.91
733410.8333,1.89
733410.875,1.91
733410.9167,1.89
733410.9583,1.88
733411,1.89
733411.0417,1.88
733411.0833,1.88
733411.125,1.88
733411.1667,1.88
733411.2083,1.88
733411.25,1.88
733411.2917,1.88
733411.3333,1.88
733411.375,1.87
733411.4167,1.87
733411.4583,1.86
733411.5,1.86
733411.5417,1.86
733411.5833,1.84
733411.625,1.84
733411.6667,1.84
733411.7083,1.84
733411.75,1.84
733411.7917,1.84
733411.8333,1.84
733411.875,1.84
733411.9167,1.86
733411.9583,1.86
733412,1.86
733412.0417,1.86
733412.0833,1.86
733412.125,1.86
733412.1667,1.86
733412.2083,1.86
733412.25,1.86
733412.2917,1.86
733412.3333,1.86
733412.375,1.86
733412.4167,1.86
733412.4583,1.86
733412.5,1.84
733412.5417,1.84
733412.5833,1.84
733412.625,1.84
733412.6667,1.86
733412.7083,1.86
733412.75,1.86
733412.7917,1.86
733412.8333,1.86
733412.875,1.87
733412.9167,1.87
733412.9583,1.87
733413,1.87
733413.0417,1.87
733413.0833,1.87
733413.125,1.87
733413.1667,1.87
733413.2083,1.88
733413.25,1.87
733413.2917,1.87
733413.3333,1.87
733413.375,1.87
733413.4167,1.87
733413.4583,1.87
733413.5,1.87
733413.5417,1.87
733413.5833,1.87
733413.625,1.88
733413.6667,1.88
733413.7083,1.88
733413.75,1.88
733413.7917,1.88
733413.8333,1.88
733413.875,1.89
733413.9167,1.89
733413.9583,1.89
733414,1.89
733414.0417,1.89
733414.0833,1.89
733414.125,1.91
733414.1667,1.91
733414.2083,1.91
733414.25,1.91
733414.2917,1.91
733414.3333,1.92
733414.375,1.91
733414.4167,1.92
733414.4583,1.91
733414.5,1.91
733414.5417,1.92
733414.5833,1.92
733414.625,1.92
733414.6667,1.92
733414.7083,1.92
733414.75,1.92
733414.7917,1.92
733414.8333,1.92
733414.875,1.93
733414.9167,1.92
733414.9583,1.93
733415,1.95
733415.0417,1.95
733415.0833,1.95
733415.125,1.95
733415.1667,1.95
733415.2083,1.95
733415.25,1.95
733415.2917,1.95
733415.3333,1.95
733415.375,1.96
733415.4167,1.95
733415.4583,1.95
733415.5,1.96
733415.5417,1.97
733415.5833,1.96
733415.625,1.97
733415.6667,1.97
733415.7083,1.96
733415.75,1.96
733415.7917,1.97
733415.8333,1.96
733415.875,1.97
733415.9167,1.97
733415.9583,1.97
733416,1.98
733416.0417,1.98
733416.0833,1.98
733416.125,1.98
733416.1667,2
733416.2083,2
733416.25,1.98
733416.2917,1.98
733416.3333,2
733416.375,2
733416.4167,2
733416.4583,2
733416.5,2.01
733416.5417,2.01
733416.5833,2.01
733416.625,2.01
733416.6667,2.01
733416.7083,2
733416.75,2
733416.7917,2
733416.8333,2
733416.875,2
733416.9167,2
733416.9583,2
733417,2
733417.0417,2.01
733417.0833,2.01
733417.125,2.01
733417.1667,2
733417.2083,2.01
733417.25,2.01
733417.2917,2.01
733417.3333,2.01
733417.375,2
733417.4167,2
733417.4583,2
733417.5,2.01
733417.5417,2.01
733417.5833,2.02
733417.625,2.01
733417.6667,2.01
733417.7083,2.01
733417.75,2.01
733417.7917,2.01
733417.8333,2.01
733417.875,2
733417.9167,2
733417.9583,2.01
733418,2.01
733418.0417,2.01
733418.0833,2
733418.125,2.01
733418.1667,2.01
733418.2083,2.01
733418.25,2.01
733418.2917,2.01
733418.3333,2.01
733418.375,2
733418.4167,2.01
733418.4583,2
733418.5,2
733418.5417,2
733418.5833,2
733418.625,2
733418.6667,1.98
733418.7083,1.98
733418.75,2
733418.7917,2
733418.8333,2
733418.875,2.01
733418.9167,2
733418.9583,1.98
733419,1.98
733419.0417,1.98
733419.0833,2
733419.125,2
733419.1667,2
733419.2083,2
733419.25,2
733419.2917,2
733419.3333,2
733419.375,2
733419.4167,1.98
733419.4583,1.98
733419.5,1.98
733419.5417,1.98
733419.5833,1.98
733419.625,2
733419.6667,1.98
733419.7083,2
733419.75,2
733419.7917,2
733419.8333,1.98
733419.875,2
733419.9167,2
733419.9583,2
733420,2
733420.0417,2
733420.0833,2
733420.125,2.01
733420.1667,2
733420.2083,2
733420.25,2
733420.2917,1.98
733420.3333,1.98
733420.375,1.98
733420.4167,1.98
733420.4583,2
733420.5,2.01
733420.5417,2.01
733420.5833,2.01
733420.625,2.02
733420.6667,2.02
733420.7083,2.01
733420.75,2
733420.7917,2.01
733420.8333,2
733420.875,1.98
733420.9167,2
733420.9583,1.98
733421,1.98
733421.0417,1.98
733421.0833,1.98
733421.125,1.98
733421.1667,1.97
733421.2083,1.97
733421.25,1.98
733421.2917,1.98
733421.3333,1.98
733421.375,1.97
733421.4167,1.97
733421.4583,1.98
733421.5,1.98
733421.5417,1.98
733421.5833,1.98
733421.625,1.98
733421.6667,1.98
733421.7083,1.97
733421.75,1.97
733421.7917,1.97
733421.8333,1.97
733421.875,1.97
733421.9167,1.97
733421.9583,1.97
733422,1.97
733422.0417,1.97
733422.0833,1.96
733422.125,1.97
733422.1667,1.97
733422.2083,1.96
733422.25,1.97
733422.2917,1.96
733422.3333,1.96
733422.375,1.96
733422.4167,1.95
733422.4583,1.93
733422.5,1.93
733422.5417,1.93
733422.5833,1.95
733422.625,1.95
733422.6667,1.95
733422.7083,1.95
733422.75,1.96
733422.7917,1.96
733422.8333,1.96
733422.875,1.95
733422.9167,1.96
733422.9583,1.96
733423,1.95
733423.0417,1.96
733423.0833,1.95
733423.125,1.95
733423.1667,1.96
733423.2083,1.95
733423.25,1.96
733423.2917,1.95
733423.3333,1.93
733423.375,1.93
733423.4167,1.93
733423.4583,1.93
733423.5,1.93
733423.5417,1.93
733423.5833,1.93
733425.625,1.88
733425.6667,1.9
733425.7083,1.9
733425.75,1.88
733425.7917,1.9
733425.8333,1.9
733425.875,1.91
733425.9167,1.9
733425.9583,1.9
733426,1.91
733426.0417,1.91
733426.0833,1.92
733426.125,1.92
733426.1667,1.91
733426.2083,1.91
733426.25,1.91
733426.2917,1.92
733426.3333,1.92
733426.375,1.92
733426.4167,1.92
733426.4583,1.91
733426.5,1.91
733426.5417,1.91
733426.5833,1.9
733426.625,1.9
733426.6667,1.91
733426.7083,1.91
733426.75,1.91
733426.7917,1.91
733426.8333,1.91
733426.875,1.91
733426.9167,1.91
733426.9583,1.91
733427,1.91
733427.0417,1.89
733427.0833,1.91
733427.125,1.89
733427.1667,1.89
733427.2083,1.89
733427.25,1.89
733427.2917,1.88
733427.3333,1.88
733427.375,1.87
733427.4167,1.88
733427.4583,1.88
733427.5,1.91
733427.5417,1.92
733427.5833,1.91
733427.625,1.89
733427.6667,1.88
733427.7083,1.88
733427.75,1.88
733427.7917,1.87
733427.8333,1.87
733427.875,1.87
733427.9167,1.87
733427.9583,1.87
733428,1.87
733428.0417,1.87
733428.0833,1.87
733428.125,1.86
733428.1667,1.86
733428.2083,1.84
733428.25,1.84
733428.2917,1.83
733428.3333,1.83
733428.375,1.83
733428.4167,1.86
733428.4583,1.84
733428.5,1.87
733428.5417,1.86
733428.5833,1.86
733428.625,1.86
733428.6667,1.84
733428.7083,1.84
733428.75,1.84
733428.7917,1.84
733428.8333,1.83
733428.875,1.82
733428.9167,1.83
733428.9583,1.83
733429,1.83
733429.0417,1.82
733429.0833,1.83
733429.125,1.83
733429.1667,1.83
733429.2083,1.83
733429.25,1.83
733429.2917,1.83
733429.3333,1.82
733429.375,1.82
733429.4167,1.8
733429.4583,1.79
733429.5,1.8
733429.5417,1.79
733429.5833,1.79
733429.625,1.8
733429.6667,1.79
733429.7083,1.8
733429.75,1.8
733429.7917,1.8
733429.8333,1.8
733429.875,1.8
733429.9167,1.8
733429.9583,1.8
733430,1.8
733430.0417,1.82
733430.0833,1.82
733430.125,1.82
733430.1667,1.82
733430.2083,1.82
733430.25,1.8
733430.2917,1.8
733430.3333,1.8
733430.375,1.79
733430.4167,1.8
733430.4583,1.79
733430.5,1.8
733430.5417,1.79
733430.5833,1.79
733430.625,1.79
733430.6667,1.78
733430.7083,1.79
733430.75,1.79
733430.7917,1.79
733430.8333,1.79
733430.875,1.79
733430.9167,1.78
733430.9583,1.79
733431,1.78
733431.0417,1.78
733431.0833,1.78
733431.125,1.78
733431.1667,1.77
733431.2083,1.77
733431.25,1.75
733431.2917,1.75
733431.3333,1.74
733431.375,1.74
733431.4167,1.77
733431.4583,1.75
733431.5,1.78
733431.5417,1.78
733431.5833,1.77
733431.625,1.77
733431.6667,1.75
733431.7083,1.77
733431.75,1.77
733431.7917,1.77
733431.8333,1.75
733431.875,1.75
733431.9167,1.75
733431.9583,1.74
733432,1.74
733432.0417,1.74
733432.0833,1.73
733432.125,1.73
733432.1667,1.73
733432.2083,1.73
733432.25,1.71
733432.2917,1.73
733432.3333,1.71
733432.375,1.71
733432.4167,1.73
733432.4583,1.73
733432.5,1.74
733432.5417,1.73
733432.5833,1.73
733432.625,1.71
733432.6667,1.71
733432.7083,1.71
733432.75,1.73
733432.7917,1.73
733432.8333,1.73
733432.875,1.73
733432.9167,1.74
733432.9583,1.74
733433,1.74
733433.0417,1.74
733433.0833,1.75
733433.125,1.74
733433.1667,1.74
733433.2083,1.75
733433.25,1.75
733433.2917,1.74
733433.3333,1.74
733433.375,1.73
733433.4167,1.75
733433.4583,1.74
733433.5,1.74
733433.5417,1.73
733433.5833,1.73
733433.625,1.73
733433.6667,1.74
733433.7083,1.74
733433.75,1.74
733433.7917,1.75
733433.8333,1.77
733433.875,1.74
733433.9167,1.75
733433.9583,1.75
733434,1.75
733434.0417,1.74
733434.0833,1.74
733434.125,1.74
733434.1667,1.74
733434.2083,1.74
733434.25,1.73
733434.2917,1.73
733434.3333,1.73
733434.375,1.73
733434.4167,1.73
733434.4583,1.74
733434.5,1.74
733434.5417,1.74
733434.5833,1.74
733434.625,1.73
733434.6667,1.73
733434.7083,1.73
733434.75,1.73
733434.7917,1.73
733434.8333,1.74
733434.875,1.73
733434.9167,1.74
733434.9583,1.74
733435,1.74
733435.0417,1.74
733435.0833,1.74
733435.125,1.74
733435.1667,1.75
733435.2083,1.75
733435.25,1.75
733435.2917,1.75
733435.3333,1.74
733435.375,1.74
733435.4167,1.74
733435.4583,1.73
733435.5,1.73
733435.5417,1.73
733435.5833,1.73
733436.625,1.73
733436.6667,1.74
733436.7083,1.75
733436.75,1.74
733436.7917,1.75
733436.8333,1.75
733436.875,1.74
733436.9167,1.75
733436.9583,1.75
733437,1.75
733437.0417,1.74
733437.0833,1.75
733437.125,1.77
733437.1667,1.77
733437.2083,1.77
733437.25,1.75
733437.2917,1.77
733437.3333,1.77
733437.375,1.77
733437.4167,1.77
733437.4583,1.78
733437.5,1.77
733437.5417,1.77
733437.5833,1.78
733437.625,1.78
733437.6667,1.78
733437.7083,1.78
733437.75,1.79
733437.7917,1.78
733437.8333,1.79
733437.875,1.8
733437.9167,1.8
733437.9583,1.79
733438,1.79
733438.0417,1.8
733438.0833,1.8
733438.125,1.8
733438.1667,1.8
733438.2083,1.8
733438.25,1.82
733438.2917,1.82
733438.3333,1.8
733438.375,1.82
733438.4167,1.83
733438.4583,1.8
733438.5,1.8
733438.5417,1.8
733438.5833,1.8
733438.625,1.82
733438.6667,1.82
733438.7083,1.82
733438.75,1.82
733438.7917,1.82
733438.8333,1.82
733438.875,1.8
733438.9167,1.82
733438.9583,1.8
733439,1.8
733439.0417,1.8
733439.0833,1.8
733439.125,1.8
733439.1667,1.8
733439.2083,1.8
733439.25,1.8
733439.2917,1.79
733439.3333,1.79
733439.375,1.79
733439.4167,1.8
733439.4583,1.82
733439.5,1.8
733439.5417,1.82
733439.5833,1.82
733439.625,1.82
733439.6667,1.8
733439.7083,1.8
733439.75,1.79
733439.7917,1.8
733439.8333,1.8
733439.875,1.8
733439.9167,1.8
733439.9583,1.8
733440,1.8
733440.0417,1.8
733440.0833,1.8
733440.125,1.8
733440.1667,1.79
733440.2083,1.79
733440.25,1.8
733440.2917,1.79
733440.3333,1.79
733440.375,1.79
733440.4167,1.79
733440.4583,1.78
733440.5,1.78
733440.5417,1.78
733440.5833,1.78
733440.625,1.78
733440.6667,1.79
733440.7083,1.79
733440.75,1.79
733440.7917,1.8
733440.8333,1.8
733440.875,1.82
733440.9167,1.8
733440.9583,1.83
733441,1.82
733441.0417,1.83
733441.0833,1.83
733441.125,1.83
733441.1667,1.83
733441.2083,1.83
733441.25,1.84
733441.2917,1.84
733441.3333,1.83
733441.375,1.84
733441.4167,1.83
733441.4583,1.83
733441.5,1.83
733441.5417,1.8
733441.5833,1.82
733441.625,1.82
733441.6667,1.82
733441.7083,1.82
733441.75,1.82
733441.7917,1.82
733441.8333,1.82
733441.875,1.82
733441.9167,1.83
733441.9583,1.83
733442,1.83
733442.0417,1.84
733442.0833,1.84
733442.125,1.84
733442.1667,1.85
733442.2083,1.85
733442.25,1.84
733442.2917,1.84
733442.3333,1.85
733442.375,1.85
733442.4167,1.85
733442.4583,1.85
733442.5,1.84
733442.5417,1.84
733442.5833,1.84
733442.625,1.84
733442.6667,1.83
733442.7083,1.83
733442.75,1.83
733442.7917,1.84
733442.8333,1.84
733442.875,1.84
733442.9167,1.85
733442.9583,1.85
733443,1.85
733443.0417,1.85
733443.0833,1.87
733443.125,1.87
733443.1667,1.85
733443.2083,1.85
733443.25,1.87
733443.2917,1.85
733443.3333,1.85
733443.375,1.85
733443.4167,1.85
733443.4583,1.85
733443.5,1.85
733443.5417,1.85
733443.5833,1.85
733443.625,1.85
733443.6667,1.84
733443.7083,1.84
733443.75,1.85
733443.7917,1.84
733443.8333,1.85
733443.875,1.85
733443.9167,1.85
733443.9583,1.85
733444,1.85
733444.0417,1.85
733444.0833,1.85
733444.125,1.85
733444.1667,1.87
733444.2083,1.87
733444.25,1.87
733444.2917,1.85
733444.3333,1.87
733444.375,1.85
733444.4167,1.85
733444.4583,1.85
733444.5,1.85
733444.5417,1.85
733444.5833,1.85
733444.625,1.84
733444.6667,1.85
733444.7083,1.85
733444.75,1.85
733444.7917,1.87
733444.8333,1.87
733444.875,1.85
733444.9167,1.87
733444.9583,1.85
733445,1.85
733445.0417,1.85
733445.0833,1.85
733445.125,1.85
733445.1667,1.87
733445.2083,1.85
733445.25,1.87
733445.2917,1.85
733445.3333,1.84
733445.375,1.84
733445.4167,1.85
733445.4583,1.84
733445.5,1.85
733445.5417,1.85
733445.5833,1.85
733445.625,1.85
733445.6667,1.85
733445.7083,1.87
733445.75,1.85
733445.7917,1.84
733445.8333,1.84
733445.875,1.84
733445.9167,1.84
733445.9583,1.84
733446,1.84
733446.0417,1.84
733446.0833,1.84
733446.125,1.85
733446.1667,1.85
733446.2083,1.85
733446.25,1.84
733446.2917,1.84
733446.3333,1.84
733446.375,1.84
733446.4167,1.83
733446.4583,1.83
733446.5,1.82
733446.5417,1.82
733446.5833,1.82
733446.625,1.8
733446.6667,1.8
733446.7083,1.82
733446.75,1.82
733446.7917,1.82
733446.8333,1.82
733446.875,1.82
733446.9167,1.82
733446.9583,1.82
733447,1.83
733447.0417,1.83
733447.0833,1.83
733447.125,1.83
733447.1667,1.83
733447.2083,1.83
733447.25,1.83
733447.2917,1.83
733447.3333,1.82
733447.375,1.82
733447.4167,1.82
733447.4583,1.82
733447.5,1.82
733447.5417,1.82
733447.5833,1.82
733447.625,1.82
733447.6667,1.82
733447.7083,1.82
733447.75,1.82
733447.7917,1.82
733447.8333,1.82
733447.875,1.83
733447.9167,1.83
733447.9583,1.83
733448,1.83
733448.0417,1.83
733448.0833,1.84
733448.125,1.84
733448.1667,1.83
733448.2083,1.84
733448.25,1.84
733448.2917,1.84
733448.3333,1.84
733448.375,1.83
733448.4167,1.83
733448.4583,1.83
733448.5,1.82
733448.5417,1.83
733448.5833,1.82
733448.625,1.83
733448.6667,1.83
733448.7083,1.83
733448.75,1.83
733448.7917,1.83
733448.8333,1.83
733448.875,1.84
733448.9167,1.84
733448.9583,1.84
733449,1.85
733449.0417,1.84
733449.0833,1.85
733449.125,1.85
733449.1667,1.85
733449.2083,1.85
733449.25,1.85
733449.2917,1.85
733449.3333,1.84
733449.375,1.85
733449.4167,1.85
733449.4583,1.87
733449.5,1.85
733449.5417,1.85
733449.5833,1.84
733449.625,1.85
733449.6667,1.85
733449.7083,1.87
733449.75,1.87
733449.7917,1.87
733449.8333,1.85
733449.875,1.85
733449.9167,1.87
733449.9583,1.85
733450,1.85
733450.0417,1.85
733450.0833,1.85
733450.125,1.85
733450.1667,1.85
733450.2083,1.84
733450.25,1.85
733450.2917,1.85
733450.3333,1.85
733450.375,1.85
733450.4167,1.87
733450.4583,1.87
733450.5,1.87
733450.5417,1.87
733450.5833,1.87
733450.625,1.87
733450.6667,1.89
733450.7083,1.89
733450.75,1.88
733450.7917,1.85
733450.8333,1.85
733450.875,1.87
733450.9167,1.85
733450.9583,1.85
733451,1.85
733451.0417,1.85
733451.0833,1.85
733451.125,1.87
733451.1667,1.85
733451.2083,1.85
733451.25,1.87
733451.2917,1.87
733451.3333,1.85
733451.375,1.85
733451.4167,1.85
733451.4583,1.85
733451.5,1.84
733451.5417,1.84
733451.5833,1.83
733451.625,1.84
733451.6667,1.83
733451.7083,1.84
733451.75,1.84
733451.7917,1.85
733451.8333,1.85
733451.875,1.85
733451.9167,1.85
733451.9583,1.85
733452,1.85
733452.0417,1.87
733452.0833,1.87
733452.125,1.85
733452.1667,1.85
733452.2083,1.84
733452.25,1.84
733452.2917,1.84
733452.3333,1.84
733452.375,1.84
733452.4167,1.84
733452.4583,1.84
733452.5,1.84
733452.5417,1.84
733452.5833,1.83
733452.625,1.83
733452.6667,1.83
733452.7083,1.83
733452.75,1.84
733452.7917,1.84
733452.8333,1.85
733452.875,1.85
733452.9167,1.85
733452.9583,1.85
733453,1.85
733453.0417,1.84
733453.0833,1.85
733453.125,1.84
733453.1667,1.84
733453.2083,1.84
733453.25,1.84
733453.2917,1.85
733453.3333,1.84
733453.375,1.84
733453.4167,1.84
733453.4583,1.84
733453.5,1.83
733453.5417,1.83
733453.5833,1.82
733453.625,1.83
733453.6667,1.84
733453.7083,1.84
733453.75,1.84
733453.7917,1.84
733453.8333,1.85
733453.875,1.85
733453.9167,1.85
733453.9583,1.85
733454,1.85
733454.0417,1.85
733454.0833,1.85
733454.125,1.87
733454.1667,1.85
733454.2083,1.85
733454.25,1.85
733454.2917,1.84
733454.3333,1.84
733454.375,1.87
733454.4167,1.85
733454.4583,1.85
733454.5,1.87
733454.5417,1.85
733454.5833,1.84
733454.625,1.84
733454.6667,1.85
733454.7083,1.85
733454.75,1.85
733454.7917,1.85
733454.8333,1.84
733454.875,1.84
733454.9167,1.85
733454.9583,1.85
733455,1.85
733455.0417,1.85
733455.0833,1.85
733455.125,1.85
733455.1667,1.85
733455.2083,1.85
733455.25,1.85
733455.2917,1.84
733455.3333,1.84
733455.375,1.84
733455.4167,1.84
733455.4583,1.84
733455.5,1.83
733455.5417,1.83
733455.5833,1.83
733455.625,1.83
733455.6667,1.83
733455.7083,1.83
733455.75,1.83
733455.7917,1.83
733455.8333,1.84
733455.875,1.84
733455.9167,1.84
733455.9583,1.85
733456,1.84
733456.0417,1.84
733456.0833,1.84
733456.125,1.84
733456.1667,1.84
733456.2083,1.85
733456.25,1.84
733456.2917,1.84
733456.3333,1.85
733456.375,1.84
733456.4167,1.84
733456.4583,1.85
733456.5,1.85
733456.5417,1.84
733456.5833,1.85
733456.625,1.87
733456.6667,1.87
733456.7083,1.87
733456.75,1.87
733456.7917,1.87
733456.8333,1.87
733456.875,1.88
733456.9167,1.88
733456.9583,1.88
733457,1.88
733457.0417,1.89
733457.0833,1.89
733457.125,1.88
733457.1667,1.89
733457.2083,1.89
733457.25,1.89
733457.2917,1.89
733457.3333,1.88
733457.375,1.89
733457.4167,1.91
733457.4583,1.94
733457.5,1.92
733457.5417,1.93
733457.5833,1.97
733457.625,1.92
733457.6667,1.92
733457.7083,1.96
733457.75,1.94
733457.7917,1.99
733457.8333,1.96
733457.875,1.93
733457.9167,1.91
733457.9583,1.91
733458,1.92
733458.0417,1.91
733458.0833,1.91
733458.125,1.91
733458.1667,1.89
733458.2083,1.89
733458.25,1.89
733458.2917,1.89
733458.5,1.88
733458.5417,1.89
733458.5833,1.89
733458.625,1.92
733458.6667,1.92
733458.7083,1.92
733458.75,1.89
733458.7917,1.91
733458.8333,1.91
733458.875,1.91
733458.9167,1.91
733458.9583,1.89
733459,1.89
733459.0417,1.89
733459.0833,1.88
733459.125,1.89
733459.1667,1.89
733459.2083,1.88
733459.25,1.89
733459.2917,1.89
733459.3333,1.88
733459.375,1.87
733459.4167,1.85
733459.4583,1.83
733459.5,1.84
733459.5417,1.84
733459.5833,1.85
733459.625,1.85
733459.6667,1.87
733459.7083,1.85
733459.75,1.85
733459.7917,1.87
733459.8333,1.85
733459.875,1.85
733459.9167,1.84
733459.9583,1.85
733460,1.85
733460.0417,1.85
733460.0833,1.85
733460.125,1.85
733460.1667,1.85
733460.2083,1.85
733460.25,1.85
733460.2917,1.85
733460.3333,1.84
733460.375,1.83
733460.4167,1.84
733460.4583,1.82
733460.5,1.82
733460.5417,1.82
733460.5833,1.82
733460.625,1.82
733460.6667,1.83
733460.7083,1.83
733460.75,1.83
733460.7917,1.83
733460.8333,1.84
733460.875,1.83
733460.9167,1.83
733460.9583,1.83
733461,1.83
733461.0417,1.83
733461.0833,1.83
733461.125,1.83
733461.1667,1.83
733461.2083,1.83
733461.25,1.82
733461.2917,1.82
733461.3333,1.82
733461.375,1.8
733461.4167,1.82
733461.4583,1.82
733461.5,1.82
733461.5417,1.8
733461.5833,1.8
733461.625,1.8
733461.6667,1.8
733461.7083,1.82
733461.75,1.82
733461.7917,1.82
733461.8333,1.82
733461.875,1.83
733461.9167,1.82
733461.9583,1.83
733462,1.83
733462.0417,1.83
733462.0833,1.83
733462.125,1.83
733462.1667,1.84
733462.2083,1.83
733462.25,1.83
733462.2917,1.82
733462.3333,1.83
733462.375,1.82
733462.4167,1.82
733462.4583,1.79
733462.5,1.8
733462.5417,1.82
733462.5833,1.8
733462.625,1.82
733462.6667,1.83
733462.7083,1.83
733462.75,1.84
733462.7917,1.83
733462.8333,1.84
733462.875,1.83
733462.9167,1.84
733462.9583,1.86
733463,1.84
733463.0417,1.84
733463.0833,1.85
733463.125,1.85
733463.1667,1.86
733463.2083,1.86
733463.25,1.86
733463.2917,1.87
733463.3333,1.86
733465.4583,1.89
733465.5,1.89
733465.5417,1.91
733465.5833,1.91
733465.625,1.92
733465.6667,1.93
733465.7083,1.91
733465.75,1.93
733465.7917,1.92
733465.8333,1.91
733465.875,1.91
733465.9167,1.91
733465.9583,1.91
733466,1.89
733466.0417,1.89
733466.0833,1.89
733466.125,1.89
733466.1667,1.89
733466.2083,1.89
733466.25,1.88
733466.2917,1.88
733466.3333,1.88
733466.375,1.88
733466.4167,1.88
733466.4583,1.87
733466.5,1.88
733466.5417,1.88
733466.5833,1.88
733466.625,1.88
733466.6667,1.91
733466.7083,1.89
733466.75,1.89
733466.7917,1.88
733466.8333,1.88
733466.875,1.88
733466.9167,1.87
733466.9583,1.88
733467,1.87
733467.0417,1.87
733467.0833,1.86
733467.125,1.87
733467.1667,1.87
733467.2083,1.86
733467.25,1.87
733467.2917,1.84
733467.3333,1.84
733467.375,1.85
733467.4167,1.86
733467.4583,1.83
733467.5,1.83
733467.5417,1.82
733467.5833,1.82
733467.625,1.82
733467.6667,1.83
733467.7083,1.83
733467.75,1.83
733467.7917,1.83
733467.8333,1.83
733467.875,1.83
733467.9167,1.83
733467.9583,1.83
733468,1.83
733468.0417,1.83
733468.0833,1.83
733468.125,1.82
733468.1667,1.82
733468.2083,1.83
733468.25,1.83
733468.2917,1.84
733468.3333,1.82
733468.375,1.82
733468.4167,1.8
733468.4583,1.82
733468.5,1.8
733468.5417,1.82
733468.5833,1.82
733468.625,1.8
733468.6667,1.8
733468.7083,1.82
733468.75,1.82
733468.7917,1.82
733468.8333,1.83
733468.875,1.83
733468.9167,1.83
733468.9583,1.84
733469,1.83
733469.0417,1.84
733469.0833,1.84
733469.125,1.84
733469.1667,1.84
733469.2083,1.83
733469.25,1.84
733469.2917,1.84
733469.3333,1.84
733469.375,1.83
733469.4167,1.83
733469.4583,1.83
733469.5,1.83
