'LTU016PIAPE910',2003-01-08-00:00:00'
732039,0.59
732040,0.63
732041,0.63
732042,0.59
732043,0.56
732044,0.59
732045,0.65
732046,0.7
732047,0.72
732048,0.72
732049,0.75
732050,0.78
732051,0.79
732052,0.8
732053,0.81
732054,0.85
732055,0.85
732056,0.9
732057,0.95
732058,0.92
732059,0.93
732060,0.93
732061,0.95
732062,0.96
732063,0.98
732064,0.98
732065,0.98
732066,1.01
732067,1.09
732068,1.11
732069,1.14
732070,1.11
732071,1.12
732072,1.12
732073,1.12
732074,1.16
732075,1.19
732076,1.25
732077,1.33
732078,1.36
732079,1.42
732080,1.41
732081,1.42
732082,1.52
732083,1.58
732084,1.64
732085,1.72
732086,1.71
732087,1.78
732088,1.83
732089,1.85
732090,1.91
732091,1.96
732092,1.94
732093,1.97
732094,2
732095,2.12
732096,2.12
732097,2.11
732098,2.17
732099,2.26
732100,2.22
732101,2.22
732102,2.25
732103,2.31
732104,2.38
732105,2.44
732106,2.5
732107,2.54
732109,2.64
732110,2.66
732111,2.7
732113,2.71
732114,2.82
732115,2.87
732116,2.92
732117,2.92
732118,2.92
732119,2.96
732120,2.95
732121,2.96
732122,3.01
732123,3.02
732124,3.04
732125,3.07
732126,3.06
732127,3.08
732128,3.07
732129,3.09
732130,3.09
732131,3.09
732132,3.15
732133,3.23
732134,3.21
732135,3.23
732136,3.28
732137,3.24
732138,3.26
732139,3.24
732140,3.29
732141,3.34
732142,3.35
732143,3.36
732144,3.34
732145,3.31
732146,3.36
732147,3.41
732148,3.42
732149,3.47
732150,3.51
732151,3.52
732152,3.48
732153,3.49
732154,3.51
732155,3.56
732156,3.57
732157,3.59
732158,3.59
732159,3.63
732160,3.61
732161,3.61
732162,3.64
732163,3.65
732164,3.63
732165,3.61
732166,3.59
732167,3.59
732168,3.58
732169,3.59
732170,3.58
732171,3.58
732172,3.58
732173,3.56
732174,3.56
732175,3.57
732176,3.58
732177,3.58
732178,3.58
732179,3.57
732180,3.57
732181,3.56
732182,3.54
732183,3.51
732184,3.49
732185,3.47
732186,3.47
732187,3.47
732188,3.51
732189,3.46
732190,3.43
732191,3.45
732192,3.42
732193,3.4
732194,3.38
732195,3.37
732196,3.37
732197,3.35
732198,3.32
732199,3.3
732200,3.25
732201,3.24
732202,3.22
732203,3.22
732204,3.18
732205,3.17
732206,3.17
732207,3.2
732208,3.18
732209,3.12
732210,3.11
732211,3.07
732212,3.08
732213,3.08
732214,3.07
732215,3.07
732216,3.09
732217,3.06
732218,3.06
732219,3.02
732220,3
732221,2.99
732222,2.97
732223,2.95
732224,2.9
732225,2.85
732226,2.81
732227,2.76
732228,2.76
732229,2.77
732230,2.77
732231,2.75
732232,2.71
732233,2.7
732234,2.67
732235,2.66
732236,2.63
732237,2.62
732238,2.6
732239,2.55
732240,2.49
732241,2.44
732242,2.4
732243,2.35
732244,2.33
732245,2.3
732246,2.27
732247,2.26
732248,2.22
732249,2.17
732250,2.14
732251,2.13
732252,2.13
732253,2.08
732254,2.06
732255,2.01
732256,1.99
732257,1.95
732258,1.89
732259,1.84
732260,1.78
732261,1.73
732262,1.69
732263,1.65
732264,1.59
732265,1.55
732266,1.51
732267,1.5
732268,1.48
732269,1.46
732270,1.46
732271,1.45
732272,1.44
732273,1.43
732274,1.4
732275,1.39
732276,1.39
732277,1.35
