TrafficLoad, '2007-09-01-16:00:00' 
733291.2083,1.31325
733291.2292,2.12945
733291.25,3.99095
733291.2708,5.51475
733291.2917,6.70085
733291.3125,6.99865
733291.3333,6.40815
733291.3542,6.88105
733291.375,8.41735
733291.3958,9.6145
733291.4167,10.4725
733291.4375,10.43045
733291.4583,9.48835
733291.4792,8.266675
733291.5,6.765425
733291.5208,6.595875
733291.5417,7.758025
733291.5625,8.020975
733291.5833,7.384725
733291.6042,6.742025
733291.625,6.092875
733291.6458,5.79465
733291.6667,5.84735
733291.6875,5.2923
733291.7083,4.1295
733291.7292,3.5195
733291.75,3.4623
733291.7708,3.09595
733291.7917,2.42045
733291.8125,1.802325
733291.8333,1.241575
733291.8542,0.882575
733291.875,0.725325
733291.8958,0.663775
733291.9167,0.697925
733291.9375,0.817125
733291.9583,1.021375
733291.9792,0.91085
733292,0.48555
733292.0208,0.28255
733292.0417,0.30185
733292.0625,0.390125
733292.0833,0.547375
733292.1042,0.6423
733292.125,0.6749
733292.1458,0.92995
733292.1667,1.40745
733292.1875,1.52665
733292.2083,1.28755
733292.2292,1.9754
733292.25,3.5902
733292.2708,4.986025
733292.2917,6.162875
733292.3125,6.77715
733292.3333,6.82885
733292.3542,6.75355
733292.375,6.55125
733292.3958,6.702825
733292.4167,7.208275
733292.4375,7.246025
733292.4583,6.816075
733292.4792,6.7628
733292.5,7.0862
733292.5208,7.224325
733292.5417,7.177175
733292.5625,6.96215
733292.5833,6.57925
733292.6042,6.188925
733292.625,5.791175
733292.6458,5.44865
733292.6667,5.16135
733292.6875,4.7418
733292.7083,4.19
733292.7292,3.649225
733292.75,3.119475
733292.7708,2.4813
733292.7917,1.7347
733292.8125,1.23215
733292.8333,0.97365
733292.8542,0.700975
733292.875,0.414125
733292.8958,0.4163
733292.9167,0.7075
733292.9375,0.7577
733292.9583,0.5669
733292.9792,0.422675
733293,0.325025
733293.0208,0.252775
733293.0417,0.205925
733293.0625,0.24935
733293.0833,0.38305
733293.1042,0.4105
733293.125,0.3317
733293.1458,0.37545
733293.1667,0.54175
733293.1875,0.703575
733293.2083,0.860925
733293.2292,1.08335
733293.25,1.37085
733293.2708,1.718975
733293.2917,2.127725
733293.3125,2.18165
733293.3333,1.88075
733293.3542,1.9759
733293.375,2.4671
733293.3958,2.76165
733293.4167,2.85955
733293.4375,2.594475
733293.4583,1.966425
733293.4792,1.7202
733293.5,1.8558
733293.5208,1.89625
733293.5417,1.84155
733293.5625,1.805025
733293.5833,1.786675
733293.6042,1.614275
733293.625,1.287825
733293.6458,1.142025
733293.6667,1.176875
733293.6875,1.132475
733293.7083,1.008825
733293.7292,0.909725
733293.75,0.835175
733293.7708,0.665
733293.7917,0.3992
733293.8125,0.25995
733293.8333,0.24725
733293.8542,0.21805
733293.875,0.17235
733293.8958,0.147425
733293.9167,0.143275
733293.9375,0.145025
733293.9583,0.152675
733293.9792,0.182875
733294,0.235625
733294.0208,0.222
733294.0417,0.142
733294.0625,0.1105
733294.0833,0.1275
733294.1042,0.178075
733294.125,0.262225
733294.1458,0.266375
733294.1667,0.190525
733294.1875,0.1495
733294.2083,0.1433
733294.2292,0.243675
733294.25,0.450625
733294.2708,0.4518
733294.2917,0.2472
733294.3125,0.40485
733294.3333,0.92475
733294.3542,1.223825
733294.375,1.302075
733294.3958,1.24735
733294.4167,1.05965
733294.4375,0.9834
733294.4583,1.0186
733294.4792,1.07295
733294.5,1.14645
733294.5208,1.066375
733294.5417,0.832725
733294.5625,0.7209
733294.5833,0.7309
733294.6042,0.7632
733294.625,0.8178
733294.6458,0.95845
733294.6667,1.18515
733294.6875,1.331575
733294.7083,1.397725
733294.7292,1.3219
733294.75,1.1041
733294.7708,0.83355
733294.7917,0.51025
733294.8125,0.55965
733294.8333,0.98175
733294.8542,1.0548
733294.875,0.7788
733294.8958,0.6177
733294.9167,0.5715
733294.9375,0.495875
733294.9583,0.390825
733294.9792,0.2717
733295,0.1385
733295.0208,0.136425
733295.0417,0.265475
733295.0625,0.389075
733295.0833,0.507225
733295.1042,0.456575
733295.125,0.237125
733295.1458,0.30035
733295.1667,0.64625
733295.1875,1.1103
733295.2083,1.6925
733295.2292,2.4085
733295.25,3.2583
733295.2708,4.424125
733295.2917,5.905975
733295.3125,6.524475
733295.3333,6.279625
733295.3542,6.748175
733295.375,7.930125
733295.3958,7.95535
733295.4167,6.82385
733295.4375,6.477125
733295.4583,6.915175
733295.4792,7.31535
733295.5,7.67765
733295.5208,7.923575
733295.5417,8.053125
733295.5625,8.113425
733295.5833,8.104475
733295.6042,7.83625
733295.625,7.30875
733295.6458,6.901275
733295.6667,6.613825
733295.6875,6.161575
733295.7083,5.544525
733295.7292,4.79325
733295.75,3.90775
733295.7708,3.087275
733295.7917,2.331825
733295.8125,1.833975
733295.8333,1.593725
733295.8542,1.2634
733295.875,0.843
733295.8958,0.859475
733295.9167,1.312825
733295.9375,1.553525
733295.9583,1.581575
733295.9792,1.403775
733296,1.020125
733296.0208,0.7628
733296.0417,0.6318
733296.0625,0.552725
733296.0833,0.525575
733296.1042,0.58965
733296.125,0.74495
733296.1458,0.907825
733296.1667,1.078275
733296.1875,1.34395
733296.2083,1.70485
733296.2292,2.475025
733296.25,3.654475
733296.2708,5.143
733296.2917,6.9406
733296.3125,7.584675
733296.3333,7.075225
733296.3542,7.1119
733296.375,7.6947
733296.3958,7.5349
733296.4167,6.6325
733296.4375,6.723675
733296.4583,7.808425
733296.4792,8.398475
733296.5,8.493825
733296.5208,8.09455
733296.5417,7.20065
733296.5625,6.848875
733296.5833,7.039225
733296.6042,7.0526
733296.625,6.889
733296.6458,6.5807
733296.6667,6.1277
733296.6875,5.465225
733296.7083,4.593275
733296.7292,4.019975
733296.75,3.745325
733296.7708,3.373625
733296.7917,2.904875
733296.8125,2.31295
733296.8333,1.59785
733296.8542,1.058425
733296.875,0.694675
733296.8958,0.64795
733296.9167,0.91825
733296.9375,1.1841
733296.9583,1.4455
733296.9792,1.30705
733297,0.76875
733297.0208,0.4511
733297.0417,0.3541
733297.0625,0.3002
733297.0833,0.2894
733297.1042,0.3895
733297.125,0.6005
733297.1458,0.708725
733297.1667,0.714175
733297.1875,1.0352
733297.2083,1.6718
733297.2292,2.6432
733297.25,3.9494
733297.2708,5.2647
733297.2917,6.5891
733297.3125,7.16095
733297.3333,6.98025
733297.3542,7.18945
733297.375,7.78855
733297.3958,7.84925
733297.4167,7.37155
733297.4375,7.143725
733297.4583,7.165775
733297.4792,7.215875
733297.5,7.294025
733297.5208,7.4853
733297.5417,7.7897
733297.5625,8.009
733297.5833,8.1432
733297.6042,7.937875
733297.625,7.393025
733297.6458,6.8903
733297.6667,6.4297
733297.6875,5.64965
733297.7083,4.55015
733297.7292,4.076175
733297.75,4.227725
733297.7708,3.714575
733297.7917,2.536725
733297.8125,1.6515
733297.8333,1.0589
733297.8542,0.843225
733297.875,1.004475
733297.8958,1.22965
733297.9167,1.51875
733297.9375,1.5061
733297.9583,1.1917
733297.9792,0.929925
733298,0.720775
733298.0208,0.487975
733298.0417,0.231525
733298.0625,0.233975
733298.0833,0.495325
733298.1042,0.723825
733298.125,0.919475
733298.1458,1.017625
733298.1667,1.018275
733298.1875,1.371725
733298.2083,2.077975
733298.2292,2.855625
733298.25,3.704675
733298.2708,4.886425
733298.2917,6.400875
733298.3125,7.1672
733298.3333,7.1854
733298.3542,7.687425
733298.375,8.673275
733298.3958,8.8744
733298.4167,8.2908
733298.4375,8.3328
733298.4583,9.0004
733298.4792,8.9975
733298.5,8.3241
733298.5208,8.1069
733298.5417,8.3459
733298.5625,8.427425
733298.5833,8.351475
733298.6042,7.94345
733298.625,7.20335
733298.6458,6.590125
733298.6667,6.103775
733298.6875,5.40655
