'TS062ND1',2007-08-22-00:00:00'
733281.0833,13.621
733281.1042,13.361125
733281.125,13.0035
733281.1458,12.63754167
733281.1667,12.34066667
733281.1875,12.04891667
733281.2083,11.96458333
733281.2292,11.90791667
733281.25,12.061625
733281.2708,12.30533333
733281.2917,12.61525
733281.3125,12.918
733281.3333,13.12379167
733281.3542,13.38020833
733281.375,13.85075
733281.3958,14.62754167
733281.4167,15.454
733281.4375,16.18866667
733281.4583,16.86925
733281.4792,17.77533333
733281.5,18.43583333
733281.5208,19.0435
733281.5417,19.33158333
733281.5625,19.49033333
733281.5833,19.95891667
733281.6042,20.13766667
733281.625,20.25391667
733281.6458,20.16033333
733281.6667,20.07533333
733281.6875,19.81808333
733281.7083,19.52275
733281.7292,19.21608333
733281.75,18.63341667
733281.7708,17.944
733281.7917,17.24908333
733281.8125,16.543
733281.8333,15.97808333
733281.8542,15.45441667
733281.875,15.047
733281.8958,14.64208333
733281.9167,14.2995
733281.9375,14.03591667
733281.9583,13.74841667
733281.9792,13.53591667
733282,13.35008333
733282.0208,13.13316667
733282.0417,12.87025
733282.0625,12.71775
733282.0833,12.64458333
733282.1042,12.43583333
733282.125,12.27925
733282.1458,12.01091667
733282.1667,11.777
733282.1875,11.57208333
733282.2083,11.38033333
733282.2292,11.17325
733282.25,11.17183333
733282.2708,11.26125
733282.2917,11.44341667
733282.3125,11.72525
733282.3333,12.18433333
733282.3542,13.062
733282.375,13.80870833
733282.3958,14.54983333
733282.4167,15.4255
733282.4375,16.15329167
733282.4583,16.59854167
733282.4792,17.03779167
733282.5,17.459625
733282.5208,18.07325
733282.5417,18.51170833
733282.5625,19.02425
733282.5833,19.19191667
733282.6042,19.05933333
733282.625,19.05345833
733282.6458,18.931875
733282.6667,18.78133333
733282.6875,18.867
733282.7083,18.67308333
733282.7292,18.58616667
733282.75,18.36925
733282.7708,18.12691667
733282.7917,17.93495833
733282.8125,17.45395833
733282.8333,17.05245833
733282.8542,16.63679167
733282.875,16.13708333
733282.8958,15.600625
733282.9167,15.12508333
733282.9375,14.68866667
733282.9583,14.24241667
733282.9792,13.836125
733283,13.61341667
733283.0208,13.36004167
733283.0417,13.12508333
733283.0625,12.87983333
733283.0833,12.594
733283.1042,12.368625
733283.125,12.15375
733283.1458,11.98875
733283.1667,11.88533333
733283.1875,11.75916667
733283.2083,11.646
733283.2292,11.48804167
733283.25,11.41904167
733283.2708,11.62875
733283.2917,11.88954167
733283.3125,12.14433333
733283.3333,12.54591667
733283.3542,13.13375
733283.375,13.83925
733283.3958,14.73554167
733283.4167,15.48141667
733283.4375,16.02354167
733283.4583,16.63858333
733283.4792,17.26925
733283.5,17.82141667
733283.5208,18.21916667
733283.5417,18.36766667
733283.5625,18.5795
733283.5833,18.77716667
733283.6042,18.82433333
733283.625,18.63566667
733283.6458,18.41708333
733283.6667,18.05841667
733283.6875,17.62241667
733283.7083,17.13391667
733283.7292,16.74116667
733283.75,16.26808333
733283.7708,15.84933333
733283.7917,15.37075
733283.8125,14.84466667
733283.8333,14.43883333
733283.8542,13.926
733283.875,13.53716667
733283.8958,13.17691667
733283.9167,12.92125
733283.9375,12.70991667
733283.9583,12.37191667
733283.9792,12.10833333
733284,11.80608333
733284.0208,11.4955
733284.0417,11.19916667
733284.0625,10.94933333
733284.0833,10.7425
733284.1042,10.68033333
733284.125,10.61666667
733284.1458,10.58091667
733284.1667,10.66325
733284.1875,10.71241667
733284.2083,10.795
733284.2292,10.8415
733284.25,10.983
733284.2708,11.42266667
733284.2917,12.0235
733284.3125,13.16758333
733284.3333,14.15
733284.3542,14.89566667
733284.375,15.41216667
733284.3958,15.6725
733284.4167,16.17991667
733284.4375,16.42416667
733284.4583,16.61875
733284.4792,16.88966667
733284.5,17.10333333
733284.5208,17.20625
733284.5417,17.29083333
733284.5625,17.30729167
733284.5833,17.379375
733284.6042,17.42958333
733284.625,17.366875
733284.6458,17.196875
733284.6667,17.28395833
733284.6875,17.091875
733284.7083,16.67083333
733284.7292,16.32895833
733284.75,16.06645833
733284.7708,15.84395833
733284.7917,15.62041667
733284.8125,15.39354167
733284.8333,15.16833333
733284.8542,14.85666667
733284.875,14.63645833
733284.8958,14.325625
733284.9167,14.08541667
733284.9375,13.93208333
733284.9583,13.75208333
733284.9792,13.61979167
733285,13.3725
733285.0208,13.21104167
733285.0417,13.11125
733285.0625,12.929375
733285.0833,12.73208333
733285.1042,12.67645833
733285.125,12.61875
733285.1458,12.619375
733285.1667,12.66395833
733285.1875,12.73125
733285.2083,12.74645833
733285.2292,12.87645833
733285.25,13.02333333
733285.2708,13.53291667
733285.2917,13.87208333
733285.3125,14.19770833
733285.3333,14.5425
733285.3542,14.850625
733285.375,15.145625
733285.3958,15.45666667
733285.4167,15.83979167
733285.4375,16.18395833
733285.4583,16.4645
733285.4792,16.67725
733285.5,16.870625
733285.5208,17.10175
733285.5417,17.09216667
733285.5625,17.205
733285.5833,17.42641667
733285.6042,17.46666667
733285.625,17.4125
733285.6458,17.29283333
733285.6667,17.19033333
733285.6875,16.97658333
733285.7083,16.7295
733285.7292,16.45275
733285.75,16.34208333
733285.7708,16.13491667
733285.7917,15.89991667
733285.8125,15.63483333
733285.8333,15.41708333
733285.8542,15.1675
733285.875,15.08033333
733285.8958,14.89283333
