'FREQ_VS1',2007-08-22-00:00:00'
733276,0.392363058
733276.0208,0.394637534
733276.0417,0.39428822
733276.0625,0.395226949
733276.0833,0.39457014
733276.1042,0.395027232
733276.125,0.394964955
733276.1458,0.39440403
733276.1667,0.39255339
733276.1875,0.3926807
733276.2083,0.392414414
733276.2292,0.391058143
733276.25,0.390180641
733276.2708,0.390013291
733276.2917,0.386797603
733276.3125,0.388033334
733276.3333,0.387440758
733276.3542,0.388449464
733276.375,0.387185304
733276.3958,0.388981159
733276.4167,0.388319562
733276.4375,0.387129292
733276.4583,0.387971203
733276.4792,0.388157098
733276.5,0.388686722
733276.5208,0.389229761
733276.5417,0.386053309
733276.5625,0.387589242
733276.5833,0.390261727
733276.6042,0.387854465
733276.625,0.389968413
733276.6458,0.390001798
733276.6667,0.389344129
733276.6875,0.387471025
733276.7083,0.387645998
733276.7292,0.389697024
733276.75,0.388023976
733276.7708,0.389448701
733276.7917,0.390772127
733276.8125,0.390025649
733276.8333,0.391333916
733276.8542,0.393824855
733276.875,0.392516622
733276.8958,0.390894406
733276.9167,0.392734205
733276.9375,0.392465497
733276.9583,0.391592825
733276.9792,0.391763722
733277,0.393157247
733277.0208,0.393797399
733277.0417,0.393560159
733277.0625,0.394462584
733277.0833,0.393200629
733277.1042,0.392585213
733277.125,0.392894237
733277.1458,0.391996637
733277.1667,0.39000369
733277.1875,0.392772204
733277.2083,0.392517517
733277.2292,0.39018526
733277.25,0.39045356
733277.2708,0.387502914
733277.2917,0.386675307
733277.3125,0.38847269
733277.3333,0.389528102
733277.3542,0.386796743
733277.375,NaN
733277.3958,0.389323323
733277.4167,0.387604
733277.4375,0.38918834
733277.4583,0.387922212
733277.4792,0.38784784
733277.5,0.390704621
733277.5208,0.390191988
733277.5417,0.390241159
733277.5625,0.388877439
733277.5833,NaN
733277.6042,NaN
733277.625,NaN
733277.6458,NaN
733277.6667,NaN
733277.6875,0.388878098
733277.7083,0.388905403
733277.7292,0.390063536
733277.75,0.391902745
733277.7708,0.391105834
733277.7917,0.391634488
733277.8125,0.39229312
733277.8333,0.392839028
733277.8542,0.391013146
733277.875,0.393905329
733277.8958,0.392136079
733277.9167,0.391592509
733277.9375,0.390913963
733277.9583,0.392921987
733277.9792,0.393503533
733278,0.394882945
733278.0208,0.391934304
733278.0417,0.394354599
733278.0625,0.393181057
733278.0833,0.394317051
733278.1042,0.394282462
733278.125,0.393848333
733278.1458,0.392429527
733278.1667,0.392637333
733278.1875,0.394218864
733278.2083,0.393113622
733278.2292,0.391272619
733278.25,0.390165105
733278.2708,0.3898294
733278.2917,0.387724586
733278.3125,0.387306806
733278.3333,0.389110759
733278.3542,0.389190733
733278.375,0.389248239
733278.3958,0.39020771
733278.4167,0.390651295
733278.4375,0.388671211
733278.4583,0.386137702
733278.4792,0.38814201
733278.5,0.390202462
733278.5208,0.389666619
733278.5417,0.388457767
733278.5625,0.389968484
733278.5833,0.389768969
733278.6042,0.390413337
733278.625,0.391534579
733278.6458,0.389179431
733278.6667,0.390255458
733278.6875,0.38880229
733278.7083,0.387924051
733278.7292,0.39125106
733278.75,0.391702782
733278.7708,0.392970934
733278.7917,0.391129662
733278.8125,0.391833097
