'TS062NC1',2007-08-22-00:00:00'
733276,14.93233333
733276.0208,14.78833333
733276.0417,14.63333333
733276.0625,14.60525
733276.0833,14.45
733276.1042,14.38733333
733276.125,14.23708333
733276.1458,14.27258333
733276.1667,14.18283333
733276.1875,14.12425
733276.2083,14.024
733276.2292,14.03166667
733276.25,14.13683333
733276.2708,14.367
733276.2917,14.47875
733276.3125,14.70691667
733276.3333,15.49491667
733276.3542,16.23491667
733276.375,17.02391667
733276.3958,18.08883333
733276.4167,19.23233333
733276.4375,20.22
733276.4583,21.197
733276.4792,21.89566667
733276.5,22.39733333
733276.5208,23.08033333
733276.5417,23.62966667
733276.5625,24.25758333
733276.5833,24.49083333
733276.6042,24.59375
733276.625,24.46108333
733276.6458,24.42216667
733276.6667,24.06283333
733276.6875,23.59858333
733276.7083,23.18266667
733276.7292,22.30083333
733276.75,21.45716667
733276.7708,20.74
733276.7917,20.03170833
733276.8125,19.48075
733276.8333,18.93866667
733276.8542,18.48791667
733276.875,18.153125
733276.8958,17.76458333
733276.9167,17.4265
733276.9375,17.21483333
733276.9583,16.996125
733276.9792,16.75341667
733277,16.57108333
733277.0208,16.33391667
733277.0417,16.1145
733277.0625,15.90366667
733277.0833,15.75695833
733277.1042,15.65504167
733277.125,15.46945833
733277.1458,15.31825
733277.1667,15.19654167
733277.1875,15.008875
733277.2083,14.725
733277.2292,14.64320833
733277.25,14.75516667
733277.2708,14.71116667
733277.2917,14.90191667
733277.3125,15.42329167
733277.3333,15.999375
733277.3542,16.909
733277.375,17.89345833
733277.3958,18.8525
733277.4167,19.85741667
733277.4375,20.85120833
733277.4583,21.79166667
733277.4792,22.67383333
733277.5,23.796125
733277.5208,24.454875
733277.5417,24.705
733277.5625,25.1795
733277.5833,25.59291667
733277.6042,25.869875
733277.625,25.39108333
733277.6458,25.391375
733277.6667,24.41858333
733277.6875,24.16375
733277.7083,23.150625
733277.7292,22.48704167
733277.75,21.23995833
733277.7708,20.27233333
733277.7917,19.72895833
733277.8125,19.08008333
733277.8333,18.48858333
733277.8542,18.07058333
733277.875,17.58233333
733277.8958,17.1175
733277.9167,16.70633333
733277.9375,16.31575
733277.9583,16.00733333
733277.9792,15.63291667
733278,15.39641667
733278.0208,15.2025
733278.0417,15.14508333
733278.0625,15.07091667
733278.0833,14.95641667
733278.1042,14.76433333
733278.125,14.56025
733278.1458,14.48183333
733278.1667,14.36175
733278.1875,14.38741667
733278.2083,14.18433333
733278.2292,14.13433333
733278.25,14.16391667
733278.2708,14.21366667
733278.2917,14.42008333
733278.3125,14.61483333
733278.3333,15.09333333
733278.3542,16.56775
733278.375,17.99366667
733278.3958,19.5785
733278.4167,20.62233333
733278.4375,21.72241667
733278.4583,22.72741667
733278.4792,23.53766667
733278.5,24.47658333
733278.5208,25.19883333
733278.5417,25.70166667
733278.5625,26.19066667
733278.5833,26.78733333
733278.6042,26.65158333
733278.625,26.60008333
733278.6458,27.604
733278.6667,26.12645833
733278.6875,24.95775
733278.7083,24.41620833
733278.7292,23.78245833
733278.75,22.84433333
733278.7708,22.3045
733278.7917,21.62125
733278.8125,21.254875
733278.8333,20.89441667
733278.8542,20.10254167
733278.875,19.74708333
733278.8958,19.08854167
733278.9167,18.67770833
733278.9375,18.22458333
733278.9583,17.73283333
733278.9792,17.30679167
733279,17.06279167
733279.0208,16.73141667
733279.0417,16.36
733279.0625,15.88845833
733279.0833,15.625
733279.1042,15.28070833
733279.125,14.91625
733279.1458,14.575375
733279.1667,14.180375
733279.1875,13.84041667
733279.2083,13.53995833
733279.2292,13.27683333
733279.25,13.30483333
733279.2708,13.4375
733279.2917,13.59979167
733279.3125,13.71708333
733279.3333,14.12329167
733279.3542,14.783
733279.375,16.16379167
733279.3958,18.00816667
