'CLASS01',2007-08-22-00:00:00'
733280.7917,11.875
733280.8125,9.500000006
733280.8333,7.500000006
733280.8542,6.250000001
733280.875,5.750000002
733280.8958,4.750000002
733280.9167,3.249999998
733280.9375,2.749999999
733280.9583,3.249999999
733280.9792,2.750000002
733281,1.250000006
733281.0208,0.625
733281.0417,0.875
733281.0625,0.875000001
733281.0833,0.625000001
733281.1042,0.5
733281.125,0.5
733281.1458,0.375
733281.1667,0.125
733281.1875,0.499999997
733281.2083,1.499999997
733281.2292,2.749999998
733281.25,4.249999994
733281.2708,4.625000001
733281.2917,3.874999999
733281.3125,4.499999994
733281.3333,6.499999994
733281.3542,7.749999999
733281.375,8.249999998
733281.3958,10.49999999
733281.4167,14.50000001
733281.4375,16.25
733281.4583,15.75
733281.4792,17
733281.5,19.99999999
733281.5208,21.75
733281.5417,22.25
733281.5625,21.37500001
733281.5833,19.12500001
733281.6042,17.625
733281.625,16.875
733281.6458,17.125
733281.6667,18.375
733281.6875,18.25
733281.7083,16.75
733281.7292,15.625
733281.75,14.875
733281.7708,12.75
733281.7917,9.249999995
733281.8125,7.5
733281.8333,7.5
733281.8542,7.000000001
733281.875,6.000000004
733281.8958,5.125000001
733281.9167,4.374999999
733281.9375,3.750000001
733281.9583,3.250000001
733281.9792,2.625000001
733282,1.875000003
733282.0208,1.250000001
733282.0417,0.749999999
733282.0625,0.5
733282.0833,0.5
733282.1042,0.5
733282.125,0.5
733282.1458,0.625
733282.1667,0.875
733282.1875,1.499999997
733282.2083,2.499999997
733282.2292,7.374999988
733282.25,16.12499996
733282.2708,26.87499998
733282.2917,39.62500002
733282.3125,39.75000003
733282.3333,27.25000003
733282.3542,18.25000001
733282.375,12.75000002
733282.3958,10.375
733282.4167,11.125
733282.4375,10.00000001
733282.4583,7.000000008
733282.4792,5.375
733282.5,5.125000001
733282.5208,6.999999994
733282.5417,11.00000001
733282.5625,12.00000001
733282.5833,10.00000001
733282.6042,10.5
733282.625,13.49999999
733282.6458,14.625
733282.6667,13.875
